城市,样本平均价,环比涨跌,同比涨跌
全国(百城),9827,-0.04,8.74
北京,23866,0.24,3.82
上海,27576,-0.23,11.88
天津,10771,-0.83,8.39
重庆,7087,-1.75,5.49
深圳,23999,-0.05,5.37
广州,13943,0.1,9.89
杭州,17094,-0.38,2.73
南京,11852,0.08,2.07
武汉,7640,0.46,7.89
成都,7645,-0.69,5.84
苏州,12143,0.05,12.44
大连,11005,-0.38,2.31
厦门,14744,0.13,10.19
西安,7386,-0.2,10.26
长沙,6626,0.52,34.43
宁波,13114,-0.44,-4.16
东莞,9152,2.65,21.31
无锡,9199,-1.33,4.66
福州,14088,-2.5,20.7
沈阳,7375,2.06,31.81
青岛,9240,0.56,5.89
济南,8638,0.81,10.94
南昌,8731,0.65,13.82
合肥,6630,-0.58,8.02
郑州,7623,0.54,11.91
太原,5946,-0.13,11.37
石家庄,5836,0.6,4.66
长春,6395,-1.87,5.62
哈尔滨,6753,0.4,2.47
呼和浩特,7092,0.54,17.07
海口,12960,-2.11,-6.57
南宁,8337,0.3,7.27
兰州,6975,0.4,6.46
昆明,8467,0.12,6.44
贵阳,5186,-0.67,4.49
西宁,5271,0.69,9.31
银川,4920,0.04,4.02
乌鲁木齐,6401,1.76,29.63
温州,19268,-0.01,37.94
潍坊,4465,0.88,17.07
包头,5419,-0.24,5.41
北海,5815,-0.26,8.75
常州,8372,1.31,16.94
桂林,5665,2.24,26.31
嘉兴,7919,-0.03,2.37
南通,10394,-0.44,7.65
唐山,6089,-0.44,4.57
徐州,5644,1.46,17.29
镇江,6358,-0.53,15.26
扬州,8985,0.03,10.94
佛山,8463,-0.31,3.94
惠州,6859,3.86,23.45
昆山,9111,0.23,5.05
廊坊,6628,-1.82,4.33
连云港,5251,0.27,11.51
洛阳,5378,1.51,16.43
秦皇岛,6940,0.81,11.7
三亚,27021,-0.37,2.54
汕头,7315,0.88,7.37
烟台,6299,0,8.75
中山,6482,-0.11,5.45
珠海,12821,-2.18,25.6
吉林,5871,-0.24,9.82
金华,10023,-0.38,8.31
泉州,6719,-3.64,7.73
赣州,5140,0.21,8.42
宜昌,5333,0.28,9.6
湛江,6480,3.2,26.51
江门,5919,0.24,4.87
舟山,0,0,0
鞍山,5166,1.37,6.8
宝鸡,4126,-0.91,6.81
保定,4678,0,10.38
德州,4978,1.01,15.66
东营,5461,1.85,4.76
鄂尔多斯,8494,1.87,8.13
邯郸,4602,0.37,10.33
菏泽,4128,2.56,41.76
湖州,8588,0.25,13.82
宿迁,4519,-0.51,10.46
江阴,7475,0.78,7.45
聊城,4982,-1.99,17.22
柳州,5991,0.82,14.44
马鞍山,5989,-1.02,5.46
绵阳,4646,0.02,8.5
日照,6542,0.49,11.62
淮安,4729,0.49,8.34
台州,11386,-0.11,2.78
泰州,6466,-1.84,17.44
威海,5842,0.34,7.15
吴江,10007,0.09,6.79
芜湖,6399,-0.44,9.93
湘潭,3880,1.17,15.48
新乡,3550,1.92,22.54
营口,4798,0.06,7.97
张家港,9707,0.64,4.91
株洲,4390,-0.3,33.23
淄博,5639,-2.73,5.05
衡水,3474,-0.8,10.5
绍兴,10093,0.74,2.02
常熟,8394,-0.23,10.84
