城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10347,0.868,7.939
北京,28478,2.502,19.635
上海,28672,0.855,6.774
天津,10561,0.562,2.864
重庆,7532,0.843,7.019
深圳,27883,1.238,16.247
广州,16866,2.132,22.564
杭州,17022,0.591,4.699
南京,12979,1.972,12.45
武汉,7933,1.705,6.283
成都,8119,0.037,9.82
苏州,12774,0.638,7.308
大连,11475,-0.864,2.501
厦门,17316,3.441,17.972
西安,7232,0.865,2.465
长沙,6740,-0.911,6.899
宁波,13112,0.375,1.778
东莞,9163,-1.706,1.439
无锡,8584,-0.395,-1.186
福州,14551,3.353,10.085
沈阳,7526,-0.172,0.186
青岛,9490,-0.042,3.92
济南,8770,1.247,2.513
南昌,9350,-0.085,15.503
合肥,6925,0.319,9.833
郑州,9071,3.033,19.907
太原,6441,0.956,7.118
石家庄,6144,1.319,5.386
长春,6834,0.826,9.239
哈尔滨,7379,0.34,8.149
呼和浩特,7195,-0.291,0.265
海口,10447,0.317,-9.691
南宁,7655,0.262,-1.783
兰州,7330,3.196,4.654
昆明,8309,1.144,-1.459
贵阳,4900,0.451,-2.546
西宁,5785,1.207,6.147
银川,5217,1.617,5.203
乌鲁木齐,7485,-0.04,10.431
温州,15613,-0.649,-13.573
潍坊,4583,-0.93,4.396
包头,5823,-0.445,3.908
北海,5885,1.239,0.926
常州,8265,-0.47,1.911
桂林,6047,2.042,4.151
嘉兴,7829,-1.348,3.75
南通,9491,-0.147,3.208
唐山,6277,-0.207,1.701
徐州,5955,2.478,6.282
镇江,6599,0.213,6.435
扬州,9298,-0.215,4.802
佛山,9093,4.039,11.584
惠州,6374,0.663,-0.437
昆山,8943,-0.6,1.741
廊坊,6833,0.515,11.742
连云港,5843,-0.29,11.126
洛阳,5331,-0.652,2.855
秦皇岛,7080,-0.757,4.363
三亚,23882,0.231,-8.315
汕头,8574,-0.58,21.256
烟台,6531,-0.865,3.568
中山,6321,-0.504,1.233
珠海,12625,0.678,4.833
吉林,6026,0.668,6.166
金华,9518,0.624,2.037
泉州,7635,4.446,16.958
赣州,5600,2.866,12.744
宜昌,5393,2.392,4.82
湛江,7014,1.037,6.192
江门,6241,0.743,8.051
舟山,0,0,0
鞍山,5320,1.16,7.976
宝鸡,4354,0.438,3.47
保定,4955,2.334,5.068
德州,4957,1.745,3.249
东营,5875,-0.542,8.215
鄂尔多斯,9136,1.174,9.98
邯郸,4876,0.89,5.064
菏泽,5099,-1.488,13.21
湖州,8945,-1.051,8.071
宿迁,4956,2.333,9.476
江阴,6991,-0.668,-1.355
聊城,5213,0.192,0.988
柳州,6566,2.754,13.5
马鞍山,5666,-1.065,1.906
绵阳,4958,-0.601,1.828
日照,6747,2.351,4.378
淮安,5156,0.88,10.573
台州,11568,-0.55,6.5
泰州,7181,-0.195,2.998
威海,6000,-0.349,2.197
吴江,0,0,0
芜湖,6281,-0.57,6.566
湘潭,4033,-1.442,6.948
新乡,4256,1.867,6.267
营口,4906,-0.244,5.528
张家港,8551,1.064,-6.75
株洲,4972,-0.141,11.28
淄博,5997,1.661,4.187
衡水,4342,3.9,20.544
绍兴,10172,-0.069,4.425
常熟,9279,0.292,15.367
盐城,5579,-1.292,0
