城市,样本平均价,环比涨跌,同比涨跌
全国(百城),9623,-0.321,0.177
北京,23372,-0.655,-1.579
上海,27104,-0.239,3.427
天津,10388,-2.332,-5.054
重庆,6875,0.777,-6.002
深圳,23989,0.841,1.627
广州,13706,0.366,0.388
杭州,16599,-0.913,-4.888
南京,11496,-0.234,-3.5
武汉,7557,-0.066,0.706
成都,7365,-0.325,-5.115
苏州,11594,-1.126,-6.152
大连,11147,-0.73,1.874
厦门,13759,-0.094,-1.658
西安,7138,-0.516,0.168
长沙,6429,-0.511,10.559
宁波,12823,-0.101,-4.74
东莞,8970,2.761,7.787
无锡,8579,-1.368,-7.013
福州,13203,-1.595,-5.72
沈阳,7368,-0.203,15.685
青岛,9238,-0.313,1.361
济南,8638,-0.758,2.699
南昌,8367,-0.107,0.264
合肥,6553,1.283,-2.875
郑州,7665,0.039,2.858
太原,6034,-0.099,4.485
石家庄,5866,-0.407,3.457
长春,6319,-0.016,1.396
哈尔滨,6704,-0.549,0.015
呼和浩特,7191,-1.182,8.038
海口,12532,-0.634,-8.231
南宁,7934,-0.489,-3.421
兰州,7022,0.314,2.917
昆明,8468,-0.189,1.437
贵阳,5103,-0.797,-0.797
西宁,5272,-0.038,5.209
银川,4891,0.123,1.832
乌鲁木齐,6568,-0.44,14.805
温州,19758,-2.88,21.386
潍坊,4491,0.515,8.165
包头,5476,-0.146,3.732
北海,5809,-0.24,-1.409
常州,8135,-0.781,2.224
桂林,5808,-0.752,14.601
嘉兴,7605,-0.497,-4.532
南通,9727,-0.133,-7.984
唐山,6001,0.017,1.334
徐州,5631,-0.16,5.866
镇江,6244,-0.779,-3.149
扬州,8906,0.361,1.678
佛山,8071,0.298,-5.359
惠州,6431,-2.84,3.442
昆山,8794,-1.269,-1.457
廊坊,6293,-0.647,-5.836
连云港,5289,0.781,6.741
洛阳,5231,0.345,2.408
秦皇岛,6913,0.67,3.333
三亚,26425,0.659,-0.004
汕头,7466,0.579,4.332
烟台,6383,-0.141,6.632
中山,6223,0.161,-2.963
珠海,12653,-0.916,4.518
吉林,5723,-0.573,0.598
金华,9537,-0.178,-1.741
泉州,6701,-0.357,6.721
赣州,5030,0.479,1.432
宜昌,5248,0.267,1.824
湛江,6425,1.887,7.424
江门,5820,-0.666,-0.189
舟山,0,0,0
鞍山,4986,-0.658,0.484
宝鸡,4260,0.543,3.148
保定,4692,-0.361,0.385
德州,4970,-1.075,8.92
东营,5421,-0.696,2.554
鄂尔多斯,8367,0.517,4.184
邯郸,4520,-1.224,3.932
菏泽,4361,2.564,24.921
湖州,8468,-0.4,3.686
宿迁,4598,-0.065,3.839
江阴,7139,-0.543,-3.813
聊城,5211,-0.591,8.926
柳州,5981,-1.547,6.67
马鞍山,5707,-0.748,-3.107
绵阳,4766,1.253,4.563
日照,6486,0.652,6.783
淮安,4776,0.063,3.243
台州,11012,-0.864,-4.118
泰州,6759,1.792,6.357
威海,5871,-0.559,5.196
吴江,9776,0.545,0.411
芜湖,6092,-0.943,-6.493
湘潭,3896,-0.051,8.766
新乡,3906,1.666,25.514
营口,4775,-0.042,1.488
张家港,9440,-0.327,-0.085
株洲,4630,-0.043,16.215
淄博,5725,0.562,1.633
衡水,3577,0.028,6.458
绍兴,9948,-0.629,-0.51
常熟,8171,-0.086,0.964
