城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10980,0.743,4.155
北京,34981,0.16,9.172
上海,36935,2.191,15.317
天津,10999,0.659,3.98
重庆,6986,0.706,-2.389
深圳,42591,3.529,38.647
广州,17058,0.335,-2.347
杭州,16186,0.509,0.329
南京,14759,0.668,6.841
武汉,8979,1.814,15.027
成都,7775,0.051,-3.248
苏州,12574,1.938,4.548
大连,10079,0.499,-7.996
厦门,22206,3.563,4.983
西安,6403,-0.358,-5.084
长沙,6324,-0.629,-0.597
宁波,12223,-0.456,-1.554
东莞,9667,1.897,5.11
无锡,8202,1.435,0.441
福州,12385,-1.487,-11.046
沈阳,7202,-0.277,-1.288
青岛,8723,-0.525,-5.972
济南,8509,-0.106,0.484
南昌,8860,1.153,0.113
合肥,7992,2.134,7.665
郑州,9483,0.904,5.979
太原,7110,0,2.805
石家庄,7334,0.991,4.816
长春,6811,-0.916,0.221
哈尔滨,7090,-0.659,-1.295
呼和浩特,6439,0.265,-6.532
海口,9527,1.082,1.969
南宁,7196,0.615,-3.28
兰州,7268,0.553,4.455
昆明,7632,-0.651,-6.619
贵阳,4499,-1.229,-6.485
西宁,5870,0.273,-0.962
银川,4786,-0.292,-5.954
乌鲁木齐,7182,-1.495,-4.01
温州,13184,-0.023,1.345
潍坊,4420,-0.406,-3.43
包头,5505,0.036,0.677
北海,5416,0.055,-4.311
常州,7088,-0.603,-2.126
桂林,4944,-0.623,-6.47
嘉兴,7424,-0.067,2.358
南通,8288,0.097,-2.586
唐山,5912,0.853,-0.085
徐州,5696,-0.263,-2.815
镇江,6511,0.215,0.385
扬州,8646,-0.985,-1.895
佛山,8727,0.299,1.206
惠州,6863,1.629,4.971
昆山,9407,3.102,3.819
廊坊,7541,0.775,5.587
连云港,5843,-0.205,1.318
洛阳,5249,-0.455,0.248
秦皇岛,6439,0.358,-3.1
三亚,19100,-2.302,-8.402
汕头,8322,1.873,0.726
烟台,6271,-0.334,-2.397
中山,6011,-0.562,0.1
珠海,13698,-0.739,4.001
吉林,5337,-0.559,-3.716
金华,8260,-0.302,-5.686
泉州,7477,0.403,-2.719
赣州,5929,1.195,3.491
宜昌,5427,0.761,-4.437
湛江,6961,-0.798,-2.164
江门,5809,-0.887,-3.681
舟山,0,0,0
鞍山,5167,0.859,3.402
宝鸡,3985,3.533,-1.896
保定,6352,1.697,13.307
德州,4469,-0.578,0.495
东营,5462,-0.292,-2.569
鄂尔多斯,8452,-0.236,-3.428
邯郸,5164,-0.019,-0.405
菏泽,4122,0,-3.804
湖州,8321,-1.023,-4.772
宿迁,4599,-0.174,-3.22
江阴,6350,1.567,-1.596
聊城,4542,-2.175,-4.076
柳州,7199,0.265,4.728
马鞍山,4954,0.732,-2.863
绵阳,4734,0.297,-4.499
日照,5779,-0.259,-3.506
淮安,4793,0.125,-0.971
台州,9614,0.365,-8.316
泰州,5938,-0.453,-7.795
威海,6305,0.606,0.191
吴江,0,0,0
芜湖,5546,-0.054,-4.855
湘潭,3990,0.125,2.334
新乡,4095,0.049,-3.397
营口,4493,0,-1.253
张家港,8844,0,-2.103
株洲,4599,-0.26,-4.723
淄博,5833,-0.069,1.549
衡水,4963,0.202,0.649
绍兴,8216,-1.25,-9.165
常熟,9151,-0.316,0.241
盐城,5412,-2.134,-2.045
