城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10685,1.241,10.691
北京,31277,2.558,29.126
上海,29995,2.351,11.369
天津,10817,1.378,4.532
重庆,7689,1.051,7.946
深圳,29971,2.831,24.119
广州,17576,1.017,24.776
杭州,17530,1.388,6.682
南京,13255,1.462,13.136
武汉,8200,0.911,7.134
成都,8244,0.402,10.747
苏州,12582,1.117,5.095
大连,11506,0.93,3.23
厦门,18153,0.199,21.963
西安,7271,0.525,3.208
长沙,6867,0.822,8.108
宁波,13316,1.047,4.554
东莞,9250,0.467,4.19
无锡,8768,0.16,0.597
福州,15181,0.931,15.025
沈阳,7676,1.08,3.269
青岛,9570,0.557,5.061
济南,8723,-0.661,2.263
南昌,9893,3.364,17.466
合肥,7040,0.543,11.129
郑州,9613,1.264,24.071
太原,6639,0.106,9.591
石家庄,6420,2.392,11.092
长春,7074,-0.897,9.93
哈尔滨,7389,0.462,8.026
呼和浩特,7173,-1.348,1.299
海口,10504,0.219,-11.299
南宁,7946,0.392,5.385
兰州,7587,0.637,11.1
昆明,8609,0.175,3.735
贵阳,4995,1.36,0.301
西宁,5718,0.829,4.381
银川,5147,0,1.739
乌鲁木齐,7655,0.38,11.687
温州,15213,-1.75,-12.277
潍坊,4663,0.15,4.458
包头,5909,0.716,5.839
北海,5835,0.241,2.386
常州,8028,-1.388,-2.561
桂林,6067,0.514,3.869
嘉兴,7933,0.354,5.759
南通,9768,0.308,6.105
唐山,6278,0.223,1.209
徐州,6122,0.049,11.047
镇江,6579,-0.212,6.629
扬州,9289,0.934,2.471
佛山,9273,0.422,14.045
惠州,6638,1.266,2.076
昆山,9021,0.591,0.244
廊坊,7173,1.73,16.445
连云港,5775,-2.185,10.675
洛阳,5466,0.441,4.174
秦皇岛,6967,-1.429,0.825
三亚,24472,1.342,-5.246
汕头,8708,-0.605,20.077
烟台,6607,0.061,5.073
中山,6409,0.549,1.892
珠海,12764,1.302,5.61
吉林,6166,0.785,8.156
金华,9724,-0.947,3.052
泉州,7648,0.486,21.185
赣州,5741,0.087,14.477
宜昌,5534,0.345,5.934
湛江,7503,2.332,14.375
江门,6307,-0.771,8.145
舟山,0,0,0
鞍山,5438,1.931,8.37
宝鸡,4647,1.64,8.6
保定,5073,1.929,7.116
德州,4905,0.615,5.802
东营,5857,0.532,6.491
鄂尔多斯,9285,-1.328,11.224
邯郸,4881,0.329,5.901
菏泽,5260,-1.053,7.544
湖州,8790,-0.385,6.095
宿迁,4987,0.12,9.173
江阴,7041,-0.071,-1.456
聊城,5212,-0.306,-4.209
柳州,6741,0.402,17.582
马鞍山,5710,0.759,1.223
绵阳,5054,0.457,3.629
日照,6673,-1.868,2.804
淮安,5292,2.618,11.411
台州,11507,-1.134,5.404
泰州,7121,0.056,1.222
威海,6183,2.215,5.602
吴江,0,0,0
芜湖,6256,1.164,5.161
湘潭,4038,-0.419,7.308
新乡,4317,-1.303,5.344
营口,4845,-0.575,3.836
张家港,9236,2.885,2.168
株洲,5123,0.274,11.905
淄博,5961,-1.029,2.107
衡水,4564,2.401,24.089
绍兴,9994,-1.789,2.576
常熟,9675,3.921,21.225
盐城,5783,-0.976,0
