t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
72.0,-38.0,-45.0,-86.0,-60.0,5.45357936,3.25761506,7.11112483,2.6433037,7125.40608115,-28581,1891.0,82.0,127.0,792.0,499.0
-38.0,-45.0,-86.0,-60.0,17.0,3.25761506,7.11112483,2.6433037,-3.71196514,7168.85966051,-28461,82.0,127.0,792.0,499.0,193.0
-45.0,-86.0,-60.0,17.0,59.0,7.11112483,2.6433037,-3.71196514,-2.01969694,7217.11727557,-28289,127.0,792.0,499.0,193.0,46.0
-86.0,-60.0,17.0,59.0,-66.0,2.6433037,-3.71196514,-2.01969694,10.0384157,7310.2284004,-27411,792.0,499.0,193.0,46.0,1287.0
-60.0,17.0,59.0,-66.0,36.0,-3.71196514,-2.01969694,10.0384157,-1.22003304,7372.8717041,-26852,499.0,193.0,46.0,1287.0,391.0
17.0,59.0,-66.0,36.0,-95.0,-2.01969694,10.0384157,-1.22003304,5.04034425,7352.15973896,-26676,193.0,46.0,1287.0,391.0,464.0
59.0,-66.0,36.0,-95.0,6.0,10.0384157,-1.22003304,5.04034425,2.81916462,7291.14004202,-26689,46.0,1287.0,391.0,464.0,754.0
-66.0,36.0,-95.0,6.0,-29.0,-1.22003304,5.04034425,2.81916462,-5.21665162,7367.17845772,-25336,1287.0,391.0,464.0,754.0,83.0
36.0,-95.0,6.0,-29.0,14.0,5.04034425,2.81916462,-5.21665162,0.12683928,7329.95842468,-24981,391.0,464.0,754.0,83.0,131.0
-95.0,6.0,-29.0,14.0,-57.0,2.81916462,-5.21665162,0.12683928,-0.58334966,7429.99876893,-24422,464.0,754.0,83.0,131.0,17.0
6.0,-29.0,14.0,-57.0,94.0,-5.21665162,0.12683928,-0.58334966,2.03950594,7426.81793355,-23674,754.0,83.0,131.0,17.0,249.0
-29.0,14.0,-57.0,94.0,-122.0,0.12683928,-0.58334966,2.03950594,-6.10197785,7450.60128193,-23562,83.0,131.0,17.0,249.0,-111.0
14.0,-57.0,94.0,-122.0,-35.0,-0.58334966,2.03950594,-6.10197785,-6.26196698,7436.72812121,-23445,131.0,17.0,249.0,-111.0,374.0
