t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
103.0,-42.0,-59.0,-86.0,-8.0,15.34917223,5.71826248,11.31459095,5.88311366,6633.42131428,-28924,1891.0,82.0,127.0,792.0,499.0
-42.0,-59.0,-86.0,-8.0,-74.0,5.71826248,11.31459095,5.88311366,-2.63354993,6690.77048651,-28800,82.0,127.0,792.0,499.0,193.0
-59.0,-86.0,-8.0,-74.0,-53.0,11.31459095,5.88311366,-2.63354993,1.46874822,6755.48874899,-28614,127.0,792.0,499.0,193.0,46.0
-86.0,-8.0,-74.0,-53.0,-32.0,5.88311366,-2.63354993,1.46874822,11.78722407,6852.80333994,-27736,792.0,499.0,193.0,46.0,1287.0
-8.0,-74.0,-53.0,-32.0,-81.0,-2.63354993,1.46874822,11.78722407,1.74378578,6866.6864536,-27229,499.0,193.0,46.0,1287.0,391.0
-74.0,-53.0,-32.0,-81.0,220.0,1.46874822,11.78722407,1.74378578,5.40247935,6938.05290367,-26962,193.0,46.0,1287.0,391.0,464.0
-53.0,-32.0,-81.0,220.0,-208.0,11.78722407,1.74378578,5.40247935,2.64146108,6992.52165189,-26863,46.0,1287.0,391.0,464.0,754.0
-32.0,-81.0,220.0,-208.0,-60.0,1.74378578,5.40247935,2.64146108,-5.83870756,7036.30887596,-25544,1287.0,391.0,464.0,754.0,83.0
-81.0,220.0,-208.0,-60.0,-76.0,5.40247935,2.64146108,-5.83870756,0.96931758,7119.05266174,-25072,391.0,464.0,754.0,83.0,131.0
220.0,-208.0,-60.0,-76.0,-40.0,2.64146108,-5.83870756,0.96931758,-3.11541817,6904.45514109,-24828,464.0,754.0,83.0,131.0,17.0
-208.0,-60.0,-76.0,-40.0,81.0,-5.83870756,0.96931758,-3.11541817,1.94350272,7115.09660217,-23866,754.0,83.0,131.0,17.0,249.0
-60.0,-76.0,-40.0,81.0,94.0,0.96931758,-3.11541817,1.94350272,-4.21393545,7169.25789461,-23723,83.0,131.0,17.0,249.0,-111.0
-76.0,-40.0,81.0,94.0,-114.0,-3.11541817,1.94350272,-4.21393545,-8.00898253,7246.22721219,-23516,131.0,17.0,249.0,-111.0,374.0
-40.0,81.0,94.0,-114.0,-118.0,1.94350272,-4.21393545,-8.00898253,-13.44244226,7283.11179402,-23459,17.0,249.0,-111.0,374.0,-93.0
81.0,94.0,-114.0,-118.0,-99.0,-4.21393545,-8.00898253,-13.44244226,-17.67558573,7204.05529674,-23291,249.0,-111.0,374.0,-93.0,-356.0
94.0,-114.0,-118.0,-99.0,-37.0,-8.00898253,-13.44244226,-17.67558573,-13.49864931,7105.84136129,-23496,-111.0,374.0,-93.0,-356.0,-107.0
