t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
114.0,-93.0,47.0,-50.0,-27.0,-3.19127045,-1.2203321,5.67922191,13.00419767,4476.66428212,-20874,83.0,18.0,9.0,19.0,52.0
-93.0,47.0,-50.0,-27.0,-2.0,-1.2203321,5.67922191,13.00419767,9.72746001,4566.47301167,-20763,18.0,9.0,19.0,52.0,9.0
47.0,-50.0,-27.0,-2.0,12.0,5.67922191,13.00419767,9.72746001,-3.87235383,4518.25267957,-20801,9.0,19.0,52.0,9.0,174.0
-50.0,-27.0,-2.0,12.0,-29.0,13.00419767,9.72746001,-3.87235383,-10.61354584,4573.93190148,-20732,19.0,52.0,9.0,174.0,-259.0
-27.0,-2.0,12.0,-29.0,-25.0,9.72746001,-3.87235383,-10.61354584,-3.04455599,4613.93609915,-20653,52.0,9.0,174.0,-259.0,-175.0
-2.0,12.0,-29.0,-25.0,-49.0,-3.87235383,-10.61354584,-3.04455599,-2.27442507,4625.66355916,-20642,9.0,174.0,-259.0,-175.0,-65.0
12.0,-29.0,-25.0,-49.0,-2.0,-10.61354584,-3.04455599,-2.27442507,-11.20888425,4609.79120533,-20480,174.0,-259.0,-175.0,-65.0,-18.0
-29.0,-25.0,-49.0,-2.0,40.0,-3.04455599,-2.27442507,-11.20888425,2.07652739,4628.17765949,-20710,-259.0,-175.0,-65.0,-18.0,-23.0
-25.0,-49.0,-2.0,40.0,-18.0,-2.27442507,-11.20888425,2.07652739,-9.05060561,4650.1331035,-20860,-175.0,-65.0,-18.0,-23.0,-115.0
-49.0,-2.0,40.0,-18.0,-15.0,-11.20888425,2.07652739,-9.05060561,-8.90668904,4696.85867843,-20876,-65.0,-18.0,-23.0,-115.0,-129.0
-2.0,40.0,-18.0,-15.0,-70.0,2.07652739,-9.05060561,-8.90668904,-7.82965644,4687.64979418,-20892,-18.0,-23.0,-115.0,-129.0,-122.0
40.0,-18.0,-15.0,-70.0,-34.0,-9.05060561,-8.90668904,-7.82965644,-3.11578719,4649.72632157,-20955,-23.0,-115.0,-129.0,-122.0,-63.0
-18.0,-15.0,-70.0,-34.0,-83.0,-8.90668904,-7.82965644,-3.11578719,1.42671835,4658.67571596,-21052,-115.0,-129.0,-122.0,-63.0,-35.0
-15.0,-70.0,-34.0,-83.0,33.0,-7.82965644,-3.11578719,1.42671835,1.00880845,4664.76902692,-21166,-129.0,-122.0,-63.0,-35.0,328.0
-70.0,-34.0,-83.0,33.0,-16.0,-3.11578719,1.42671835,1.00880845,8.28767349,4726.93937048,-21218,-122.0,-63.0,-35.0,328.0,260.0
-34.0,-83.0,33.0,-16.0,-30.0,1.42671835,1.00880845,8.28767349,1.38227245,4757.82358329,-21247,-63.0,-35.0,328.0,260.0,409.0
-83.0,33.0,-16.0,-30.0,41.0,1.00880845,8.28767349,1.38227245,11.7485903,4842.25030164,-21199,-35.0,328.0,260.0,409.0,471.0
33.0,-16.0,-30.0,41.0,170.0,8.28767349,1.38227245,11.7485903,11.09069832,4810.25911009,-20904,328.0,260.0,409.0,471.0,-5.0
-16.0,-30.0,41.0,170.0,238.0,1.38227245,11.7485903,11.09069832,15.26561159,4834.54678358,-20628,260.0,409.0,471.0,-5.0,341.0
-30.0,41.0,170.0,238.0,63.0,11.7485903,11.09069832,15.26561159,25.94136748,4865.92905603,-20189,409.0,471.0,-5.0,341.0,493.0
41.0,170.0,238.0,63.0,82.0,11.09069832,15.26561159,25.94136748,20.33494472,4836.67764633,-19759,471.0,-5.0,341.0,493.0,-30.0
170.0,238.0,63.0,82.0,180.0,15.26561159,25.94136748,20.33494472,19.50089565,4677.76834465,-19934,-5.0,341.0,493.0,-30.0,336.0
238.0,63.0,82.0,180.0,198.0,25.94136748,20.33494472,19.50089565,17.74654016,4455.03395624,-19831,341.0,493.0,-30.0,336.0,424.0
63.0,82.0,180.0,198.0,70.0,20.33494472,19.50089565,17.74654016,19.84281102,4417.97532372,-19401,493.0,-30.0,336.0,424.0,379.0
82.0,180.0,198.0,70.0,-24.0,19.50089565,17.74654016,19.84281102,3.41356196,4356.31026844,-19513,-30.0,336.0,424.0,379.0,-891.0
180.0,198.0,70.0,-24.0,-10.0,17.74654016,19.84281102,3.41356196,-14.61737869,4195.81116409,-19357,336.0,424.0,379.0,-891.0,-318.0
