city,lat,lng
上海,31.236301,121.480236
南京,32.064795,118.802961
无锡,31.497554,120.318843
常州,31.81668,119.98061
苏州,31.307033,120.591426
南通,31.986434,120.90088
扬州,32.400669,119.419395
镇江,32.194859,119.431414
泰州,32.461976,119.92955
杭州,30.278995,120.162141
宁波,29.865922,121.630872
嘉兴,30.752272,120.762075
湖州,30.900221,120.093291
绍兴,30.03653,120.586673
金华,29.085526,119.653907
台州,28.662341,121.427186
合肥,31.82671,117.233591
芜湖,31.358797,118.439561
马鞍山,31.675542,118.51297
