城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10554,1.073,9.481
北京,30497,3.749,26.875
上海,29306,1.128,8.847
天津,10670,0.433,3.152
重庆,7609,0.715,7.003
深圳,29146,3.15,21.194
广州,17399,1.458,24.805
杭州,17290,0.869,5.756
南京,13064,0.431,11.936
武汉,8126,0.271,6.292
成都,8211,0.687,10.467
苏州,12443,-1.002,2.962
大连,11400,0.246,2.453
厦门,18117,3.36,21.338
西安,7233,0.626,2.669
长沙,6811,0.413,6.806
宁波,13178,-0.272,2.809
东莞,9207,-0.68,3.601
无锡,8754,0.091,1.957
福州,15041,-0.529,12.768
沈阳,7594,0.676,2.152
青岛,9517,0.179,4.422
济南,8781,-0.88,2.93
南昌,9571,1.862,13.414
合肥,7002,0.517,11.657
郑州,9493,2.218,24.4
太原,6632,1.952,9.187
石家庄,6270,1.423,7.843
长春,7138,3.21,11.601
哈尔滨,7355,0.314,8.321
呼和浩特,7271,0.303,2.408
海口,10481,0.182,-10.61
南宁,7915,2.155,3.342
兰州,7539,0.253,8.335
昆明,8594,0.245,3.206
贵阳,4928,0.428,-0.845
西宁,5671,-2.342,4.074
银川,5147,-0.31,3.208
乌鲁木齐,7626,1.748,11.15
温州,15484,-0.52,-10.693
潍坊,4656,0.562,5.578
包头,5867,0.583,5.788
北海,5821,0.622,2.23
常州,8141,-2.151,-1.845
桂林,6036,0.216,2.828
嘉兴,7905,0.997,4.966
南通,9738,0.86,5.298
唐山,6264,0.144,0.87
徐州,6119,-0.875,10.272
镇江,6593,-0.543,7.676
扬州,9203,0.043,0.811
佛山,9234,-0.378,13.845
惠州,6555,0.831,0.862
昆山,8968,1.736,-0.344
廊坊,7051,1.893,14.149
连云港,5904,0.459,10.977
洛阳,5442,1.36,5.383
秦皇岛,7068,1.493,2.927
三亚,24148,0.65,-7.223
汕头,8761,2.925,23.117
烟台,6603,0.548,4.511
中山,6374,0.568,1.207
珠海,12600,0.231,4.486
吉林,6118,0.46,6.771
金华,9817,2.154,6.027
泉州,7611,-0.497,20.733
赣州,5736,2.447,15.204
宜昌,5515,0.474,5.389
湛江,7332,2.934,13.657
江门,6356,3.015,9.153
舟山,0,0,0
鞍山,5335,1.407,8.501
宝鸡,4572,2.649,7.907
保定,4977,-0.201,5.691
德州,4875,-0.041,3.372
东营,5826,0.155,5.773
鄂尔多斯,9410,2.673,11.891
邯郸,4865,-0.348,4.556
菏泽,5316,3.626,12.105
湖州,8824,0.102,6.211
宿迁,4981,-1.6,9.041
江阴,7046,1.177,-1.716
聊城,5228,-0.438,-2.244
柳州,6714,0.015,17.645
马鞍山,5667,0.604,2.496
绵阳,5031,0.882,3.412
日照,6800,-2.565,4.391
淮安,5157,-0.251,10.57
台州,11639,0.449,7.689
泰州,7117,0.127,0.836
威海,6049,0.498,4.419
吴江,0,0,0
芜湖,6184,0.766,3.619
湘潭,4055,2.788,6.626
新乡,4374,1.887,9.569
营口,4873,-1.396,4.347
张家港,8977,3.291,-2.371
株洲,5109,1.732,11.089
淄博,6023,0.585,2.992
衡水,4457,2.389,22.816
绍兴,10176,0.049,4.842
常熟,9310,2.556,15.408
盐城,5840,2.853,0
