城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10542,-0.444,-2.686
北京,32042,-0.811,1.834
上海,32029,-0.345,2.46
天津,10578,-0.704,-4.141
重庆,7157,-0.941,-8.208
深圳,30719,0.619,0.418
广州,17468,0.57,-4.531
杭州,16133,0.731,-10.625
南京,13814,-0.712,-0.202
武汉,7806,0.425,-5.85
成都,8036,0.112,-1.964
苏州,12027,0.695,-5.336
大连,10955,-0.536,-6.231
厦门,21152,1.839,12.272
西安,6746,-1.919,-8.105
长沙,6362,-0.919,-9.075
宁波,12416,-0.831,-7.461
东莞,9197,-1.678,-1.373
无锡,8166,-0.024,-7.467
福州,13923,-2.343,-10.463
沈阳,7296,-0.137,-6.221
青岛,9277,-0.706,-4.341
济南,8468,-1.455,-3.256
南昌,8850,-1.623,-9.592
合肥,7423,0.338,4.197
郑州,8948,-1.616,-8.113
太原,6916,-0.675,1.676
石家庄,6997,-0.2,8.212
长春,6796,-0.469,-3.984
哈尔滨,7183,0.349,-4.456
呼和浩特,6889,-0.577,-4.213
海口,9343,-0.849,-11.817
南宁,7440,-2.554,-7.197
兰州,6958,0.753,-8.974
昆明,8173,-1.423,-3.495
贵阳,4811,0.564,-5.09
西宁,5927,-1.92,3.891
银川,5089,-0.528,-1.529
乌鲁木齐,7482,-0.027,-4.298
温州,13009,-3.25,-12.843
潍坊,4577,0.066,-1.949
包头,5468,-0.328,-9.665
北海,5660,-1.48,-3.099
常州,7242,-0.536,-10.138
桂林,5286,-2.147,-15.707
嘉兴,7253,-0.179,-9.71
南通,8508,-1.551,-10.073
唐山,5917,-0.605,-5.705
徐州,5861,-1.28,-5.146
镇江,6486,-0.491,-1.712
扬州,8813,-1.365,-6.503
佛山,8623,0.267,-3.513
惠州,6538,0.786,-1.92
昆山,9061,0.947,-0.494
廊坊,7142,-0.64,-1.828
连云港,5767,0.54,0.857
洛阳,5236,-1.929,-6.932
秦皇岛,6645,-1.38,-4.251
三亚,20852,-2.099,-16.247
汕头,8262,-0.733,-5.953
烟台,6425,-0.788,-0.186
中山,6005,0.569,-5.819
珠海,13171,1.323,3.815
吉林,5543,-1.65,-11.099
金华,8758,-2.494,-7.352
泉州,7686,-0.337,-0.247
赣州,5729,-0.573,-0.035
宜昌,5679,-0.543,1.994
湛江,7115,-0.378,-9.062
江门,6031,-0.314,-5.381
舟山,0,0,0
鞍山,4997,-1.323,-4.765
宝鸡,4062,0.321,-10.843
保定,5606,0.43,12.435
德州,4447,-0.581,-12.097
东营,5606,0.412,-1.649
鄂尔多斯,8752,-0.285,-4.993
邯郸,5185,0.155,4.557
菏泽,4285,-1.675,-19.546
湖州,8738,1.087,-1.187
宿迁,4752,-0.876,-4.559
江阴,6453,-2.198,-7.218
聊城,4735,0.382,-9.775
柳州,6874,-1.603,-1.136
马鞍山,5100,0.354,-6.849
绵阳,4957,0.446,-1.392
日照,5989,0.369,-10.798
淮安,4840,-0.779,-7.368
台州,10486,-1.318,-10.636
泰州,6440,-0.893,-7.431
威海,6293,-0.71,2.225
吴江,0,0,0
芜湖,5829,-1.153,-6.226
湘潭,3899,-0.128,-6.834
新乡,4239,-0.353,-1.05
营口,4550,-1.302,-6.648
张家港,9034,0.144,-5.561
株洲,4827,0.583,-5.501
淄博,5744,-0.64,-3.753
衡水,4931,0.224,5.116
绍兴,9045,-0.79,-8.673
常熟,9129,-0.869,-6.167
盐城,5525,-0.612,-2.866
