城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10589,-0.376,-1.571
北京,32304,-0.615,3.099
上海,32140,1.177,5.225
天津,10653,0.528,-3.031
重庆,7225,-1.808,-6.654
深圳,30530,0.949,0.659
广州,17369,-0.783,-2.809
杭州,16016,-0.928,-10.083
南京,13913,0.173,3.143
武汉,7773,-1.52,-5.919
成都,8027,-0.149,-2.974
苏州,11944,-0.367,-5.424
大连,11014,-0.944,-5.076
厦门,20770,-0.317,12.88
西安,6878,-0.247,-5.729
长沙,6421,-0.803,-7.157
宁波,12520,-1.596,-6.602
东莞,9354,-0.149,1.409
无锡,8168,0.061,-7.055
福州,14257,0.148,-7.362
沈阳,7306,-0.815,-5.693
青岛,9343,0.075,-3.342
济南,8593,-1.671,-1.309
南昌,8996,-1.403,-8.363
合肥,7398,0.203,3.934
郑州,9095,-0.394,-5.927
太原,6963,0.187,3.263
石家庄,7011,-0.539,8.816
长春,6828,0.176,-3.736
哈尔滨,7158,-1.174,-4.241
呼和浩特,6929,0.145,-3.348
海口,9423,-1.412,-10.944
南宁,7635,-1.662,-4.167
兰州,6906,-2.719,-9.048
昆明,8291,1.11,-2.984
贵阳,4784,-0.084,-4.891
西宁,6043,2.078,5.999
银川,5116,-0.117,-1.653
乌鲁木齐,7484,-0.532,-2.144
温州,13446,-0.775,-10.598
潍坊,4574,-0.716,-1.507
包头,5486,-0.309,-8.368
北海,5745,-0.64,-3.462
常州,7281,-0.123,-9.124
桂林,5402,-1.728,-12.857
嘉兴,7266,-1.035,-9.05
南通,8642,-1.929,-10.353
唐山,5953,0.236,-6.267
徐州,5937,-0.536,-4.841
镇江,6518,-0.716,-0.867
扬州,8935,-0.39,-4.244
佛山,8600,-0.163,-6.906
惠州,6487,-0.856,-1.458
昆山,8976,-0.244,-0.477
廊坊,7188,-0.924,-0.828
连云港,5736,-0.864,-0.71
洛阳,5339,0.131,-5.051
秦皇岛,6738,-1.964,-3.37
三亚,21299,-1.771,-13.664
汕头,8323,-1.643,-5.173
烟台,6476,0.124,-0.308
中山,5971,-3.538,-6.484
珠海,12999,-2.329,2.759
吉林,5636,-1.949,-8.862
金华,8982,-0.839,-8.047
泉州,7712,-0.683,0.391
赣州,5762,-0.928,-0.26
宜昌,5710,-1.006,3.33
湛江,7142,-0.391,-8.035
江门,6050,-1.418,-4.166
舟山,0,0,0
鞍山,5064,-0.138,-5.593
宝鸡,4049,-1.027,-10.795
保定,5582,-1.552,13.363
德州,4473,-1.28,-10.647
东营,5583,-2.31,-2.837
鄂尔多斯,8777,-2.108,-4.66
邯郸,5177,2.252,4.375
菏泽,4358,-2.001,-17.851
湖州,8644,-1.302,-3.343
宿迁,4794,-1.742,-5.723
江阴,6598,-1.375,-6.212
聊城,4717,-1.421,-9.549
柳州,6986,0.475,1.246
马鞍山,5082,-1.569,-9.136
绵阳,4935,0.386,-3.026
日照,5967,-3.023,-11.1
淮安,4878,-0.914,-7.596
台州,10626,-1.474,-8.491
泰州,6498,-0.337,-8.8
威海,6338,0.46,2.441
吴江,0,0,0
芜湖,5897,0.443,-6.308
湘潭,3904,-1.114,-3.462
新乡,4254,-0.094,-0.445
营口,4610,0.109,-5.552
张家港,9021,-0.639,-4.489
株洲,4799,-1.052,-6.031
淄博,5781,0.417,-3.392
衡水,4920,0,6.057
绍兴,9117,-3.134,-7.9
常熟,9209,-0.765,-5.199
盐城,5559,-1.523,-2.508
