城市,样本平均价,环比涨跌,同比涨跌
全国(百城),11002,0.383,10.042
北京,33069,0.931,27.135
上海,32339,0.99,14.893
天津,11181,0.26,6.142
重庆,7926,0.724,9.159
深圳,31208,0.768,19.019
广州,18444,-0.287,20.478
杭州,18151,-0.181,9.324
南京,14118,0.413,15.949
武汉,8383,0.685,8.42
成都,8287,0.218,6.013
苏州,12727,0.284,2.274
大连,11947,1.032,5.885
厦门,19275,1.758,27.203
西安,7456,0.757,2.955
长沙,7004,-0.086,6.671
宁波,13361,0.03,2.927
东莞,9614,2.287,7.599
无锡,8491,-1.736,-0.899
福州,15605,0.899,10.752
沈阳,7935,0.532,5.155
青岛,9836,0.542,6.06
济南,8754,0.332,0.229
南昌,9654,-0.648,4.912
合肥,7339,1.676,9.195
郑州,9384,-2.544,10.154
太原,6907,1.798,13.752
石家庄,6524,-1.806,10.689
长春,7150,0.45,9.094
哈尔滨,7258,0.512,1.241
呼和浩特,7292,0.593,0.358
海口,10481,0.672,-1.827
南宁,8035,-0.925,9.335
兰州,7577,0.584,10.436
昆明,8575,-0.672,3.363
贵阳,5217,1.007,4.09
西宁,5833,0.344,3.864
银川,5254,-0.379,2.537
乌鲁木齐,7650,-0.585,2.836
温州,14587,-0.28,-7.455
潍坊,4686,0.839,2.763
包头,5991,0.655,4.5
北海,5803,-0.395,0.782
常州,7858,-0.858,-4.404
桂林,6403,0.914,10.244
嘉兴,7807,0.038,4.288
南通,9388,0.525,2.702
唐山,6174,-1.844,-0.724
徐州,6149,-1.316,8.143
镇江,6543,-1.535,1.995
扬州,9346,1.4,1.312
佛山,8873,0.476,3.114
惠州,6800,-2.144,9.501
昆山,9127,0.121,2.608
廊坊,7378,0.19,13.911
连云港,5713,-0.052,2.164
洛阳,5655,1.036,7.51
秦皇岛,7124,0.892,0.65
三亚,24940,0.439,8.279
汕头,8676,-2.975,9.573
烟台,6499,-0.475,-0.672
中山,6455,-0.139,2.934
珠海,12699,0.658,2.759
吉林,6384,0.773,4.416
金华,9176,-2.341,-0.821
泉州,7740,-1.451,12.028
赣州,5822,0.362,5.874
宜昌,5541,-0.841,5.023
湛江,7771,0.245,10.951
江门,6534,1.57,6.348
舟山,0,0,0
鞍山,5303,0.837,2.612
宝鸡,4431,-1.336,0.545
保定,5111,0.69,5.121
德州,5003,0.705,3.582
东营,5812,0.293,-1.542
鄂尔多斯,9297,0.606,9.094
邯郸,4974,-2.241,4.32
菏泽,5176,-2.926,2.05
湖州,8950,0.168,3.696
宿迁,5019,0.986,4.846
江阴,6966,0.331,1.324
聊城,5200,0.019,1.246
柳州,7257,-0.562,14.59
马鞍山,5304,-0.394,-4.878
绵阳,5039,-0.297,2.066
日照,6716,0.404,5.25
淮安,5052,-1.501,1.405
台州,11289,0.849,-4.241
泰州,7102,0.881,-0.893
威海,6379,-0.328,8.69
吴江,0,0,0
芜湖,6082,-0.605,0.662
湘潭,4158,-0.621,6.67
新乡,4249,0.568,2.287
营口,4929,0.469,2.645
张家港,10194,1.625,19.284
株洲,5032,0.721,3.136
淄博,5890,-0.624,1.133
衡水,4868,1.713,23.459
绍兴,9754,1.372,-4.175
常熟,9692,-1.163,14.037
盐城,5750,0.262,3.158
