城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10849,0.296,2.07
北京,34596,1.46,6.436
上海,35644,0.544,12.208
天津,10894,0.572,2.803
重庆,6909,-0.704,-6.102
深圳,40120,3.49,32.659
广州,17057,-1.239,-2.565
杭州,16069,-0.532,-0.6
南京,14514,1.291,4.5
武汉,8709,2.471,10.338
成都,7718,-1.153,-3.993
苏州,11998,-1.194,0.083
大连,10088,-2.39,-9.272
厦门,21397,-0.242,2.692
西安,6511,0.015,-5.569
长沙,6311,-0.095,-2.503
宁波,12168,0.255,-4.362
东莞,9540,2.284,1.836
无锡,8180,-0.535,0.208
福州,12628,-1.166,-11.295
沈阳,7207,-0.73,-2.159
青岛,8836,-0.753,-5.356
济南,8449,-0.996,-3.318
南昌,8710,-1.079,-4.537
合肥,7795,1.802,5.58
郑州,9366,0.688,2.574
太原,7112,-0.559,2.331
石家庄,7343,1.088,4.171
长春,6959,-0.143,2.098
哈尔滨,7132,-0.028,-1.533
呼和浩特,6432,-1.031,-7.039
海口,9449,1.668,-1.14
南宁,7120,-2.359,-8.295
兰州,7252,0.792,2.155
昆明,7702,-0.491,-6.073
贵阳,4688,0.064,-2.089
西宁,5860,-0.187,-1.014
银川,4886,-0.509,-4.608
乌鲁木齐,7344,1.087,-2.392
温州,13110,2.079,-3.254
潍坊,4472,0.653,-2.93
包头,5573,1.512,1.272
北海,5419,-0.386,-6.278
常州,7197,-0.704,-1.276
桂林,5020,0.965,-8.677
嘉兴,7463,1.056,1.648
南通,8280,0.767,-6.037
唐山,5866,-0.034,-1.229
徐州,5735,0.826,-3.92
镇江,6513,-0.837,-0.792
扬州,8792,0.194,-1.984
佛山,8656,0.804,0.488
惠州,6643,3.377,1.528
昆山,9276,0.335,3.09
廊坊,7362,0.836,1.475
连云港,5828,-1.687,0.726
洛阳,5295,-1.507,-0.694
秦皇岛,6413,-1.535,-6.693
三亚,19852,-1.562,-8.444
汕头,8224,1.106,-2.813
烟台,6373,0.934,-1.469
中山,6020,0.166,-2.746
珠海,13655,0.961,2.6
吉林,5372,-1.702,-6.541
金华,8283,-1.697,-8.556
泉州,7512,-1.366,-3.258
赣州,5850,0.498,0.585
宜昌,5477,0.146,-5.045
湛江,7243,0.695,1.018
江门,5857,-0.306,-4.562
舟山,0,0,0
鞍山,5139,-1.23,1.341
宝鸡,3849,-0.722,-5.915
保定,6232,2.013,9.912
德州,4503,0.851,-0.618
东营,5489,0.956,-3.955
鄂尔多斯,8511,0.082,-5.075
邯郸,5151,0.763,1.738
菏泽,4134,-1.642,-7.038
湖州,8415,-0.872,-3.916
宿迁,4640,0.238,-4.899
江阴,6245,-0.128,-6.652
聊城,4628,-1.153,-3.281
柳州,7144,-0.46,2.747
马鞍山,4909,-0.122,-4.92
绵阳,4909,0.946,-0.142
日照,5791,1.383,-5.883
淮安,4843,-0.041,-1.625
台州,9856,-0.605,-8.614
泰州,6008,-1.958,-7.853
威海,6268,0.853,-0.65
吴江,0,0,0
芜湖,5584,-1.395,-4.888
湘潭,4017,0.025,1.748
新乡,4109,-0.988,-3.499
营口,4489,-1.21,-2.519
张家港,8844,1.005,-2.588
株洲,4622,-0.474,-4.701
淄博,5865,0.205,1.876
衡水,4930,0.366,0.203
绍兴,8382,-0.487,-10.943
常熟,9133,-0.338,-1.584
盐城,5546,-0.947,-1.754
