城市,样本平均价,环比涨跌,同比涨跌
全国(百城),9795,-0.326,7.366
北京,23812,-0.226,2.864
上海,27454,-0.442,9.505
天津,10723,-0.446,8.974
重庆,6951,-1.919,2.206
深圳,24067,0.283,4.876
广州,13840,-0.739,6.626
杭州,17068,-0.152,1.607
南京,11761,-0.768,1.266
武汉,7640,0,7.606
成都,7629,-0.209,4.607
苏州,11771,-3.063,8.299
大连,11034,0.264,1.239
厦门,14764,0.136,13.867
西安,7380,-0.081,9.22
长沙,6598,-0.423,30.01
宁波,13156,0.32,-2.771
东莞,9110,-0.459,19.491
无锡,9202,0.033,4.759
福州,14116,0.199,20.96
沈阳,7500,1.695,31.51
青岛,9268,0.303,5.223
济南,8629,-0.104,8.966
南昌,8756,0.286,10.514
合肥,6647,0.256,4.545
郑州,7676,0.695,9.438
太原,5924,-0.37,9.38
石家庄,5856,0.343,5.552
长春,6429,0.532,6.812
哈尔滨,6691,-0.918,-0.417
呼和浩特,7097,0.071,13.407
海口,12912,-0.37,-3.005
南宁,8323,-0.168,5.743
兰州,6980,0.072,5.742
昆明,8412,-0.65,6.212
贵阳,5192,0.116,4.572
西宁,5234,-0.702,7.895
银川,4914,-0.122,3.758
乌鲁木齐,6358,-0.672,25.281
温州,20163,4.645,42.818
潍坊,4500,0.784,17.127
包头,5414,-0.092,5.372
北海,5758,-0.98,6.06
常州,8368,-0.048,14.473
桂林,5732,1.183,29.216
嘉兴,7822,-1.225,0.308
南通,10459,0.625,7.404
唐山,6007,-1.347,4.126
徐州,5610,-0.602,13.037
镇江,6288,-1.101,10.046
扬州,8925,-0.668,8.868
佛山,8381,-0.969,4.345
惠州,6849,-0.146,20.986
昆山,9023,-0.966,4.036
廊坊,6523,-1.584,2.257
连云港,5249,-0.038,11.184
洛阳,5304,-1.376,12.278
秦皇岛,6915,-0.36,9.832
三亚,26793,-0.844,2.671
汕头,7294,-0.287,6.919
烟台,6301,0.032,8.694
中山,6399,-1.28,4.525
珠海,12819,-0.016,25.825
吉林,5822,-0.835,7.596
金华,10018,-0.05,6.711
泉州,6717,-0.03,7.661
赣州,5117,-0.447,6.206
宜昌,5257,-1.425,6.763
湛江,6465,-0.231,23.284
江门,5920,0.017,3.244
舟山,0,0,0
鞍山,5150,-0.31,7.18
宝鸡,4211,2.06,5.354
保定,4682,0.086,8.53
德州,5064,1.728,20.171
东营,5494,0.604,4.668
鄂尔多斯,8556,0.73,9.44
邯郸,4607,0.109,9.274
菏泽,4085,-1.042,36.258
湖州,8520,-0.792,10.808
宿迁,4521,0.044,8.992
江阴,7504,0.388,6.576
聊城,4960,-0.442,14.128
柳州,5989,-0.033,12.049
马鞍山,5931,-0.968,4.529
绵阳,4781,2.906,11.68
日照,6515,-0.413,9.22
淮安,4744,0.317,7.403
台州,11367,-0.167,3.374
泰州,6547,1.253,14.598
威海,5794,-0.822,6.723
吴江,9919,-0.879,4.499
芜湖,6274,-1.953,4.254
湘潭,3912,0.825,14.252
新乡,3627,2.169,26.244
营口,4738,-1.251,4.407
张家港,9695,-0.124,5.438
株洲,4378,-0.273,28.916
淄博,5616,-0.408,4.445
衡水,3494,0.576,10.117
绍兴,10054,-0.386,0.822
常熟,8489,1.132,8.708
