t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
304,176,34,167,30,9.48344772,2.024432468,2.908415766,1.839191779,7198.05444718,-28942,1891,82,127,792,499
176,34,167,30,138,2.024432468,2.908415766,1.839191779,-2.744773605,7031.5378949,-29036,82,127,792,499,193
34,167,30,138,80,2.908415766,1.839191779,-2.744773605,0.320231573,6999.56232737,-28943,127,792,499,193,46
167,30,138,80,68,1.839191779,-2.744773605,0.320231573,1.454644876,6835.47074313,-28318,792,499,193,46,1287
30,138,80,68,9,-2.744773605,0.320231573,1.454644876,-2.04357452,6807.30993491,-27849,499,193,46,1287,391
138,80,68,9,37,0.320231573,1.454644876,-2.04357452,1.847369016,6666.56516131,-27794,193,46,1287,391,464
80,68,9,37,-6,1.454644876,-2.04357452,1.847369016,-3.521061884,6586.88539288,-27828,46,1287,391,464,754
68,9,37,-6,95,-2.04357452,1.847369016,-3.521061884,-4.559802464,6520.34003776,-26609,1287,391,464,754,83
9,37,-6,95,-34,1.847369016,-3.521061884,-4.559802464,-0.78965451,6509.29646324,-26227,391,464,754,83,131
37,-6,95,-34,-13,-3.521061884,-4.559802464,-0.78965451,-2.633872425,6474.14383225,-25800,464,754,83,131,17
-6,95,-34,-13,-2,-4.559802464,-0.78965451,-2.633872425,-0.21275949,6476.62277037,-25040,754,83,131,17,249
95,-34,-13,-2,25,-0.78965451,-2.633872425,-0.21275949,-3.2071345,6377.0629679,-25052,83,131,17,249,-111
-34,-13,-2,25,15,-2.633872425,-0.21275949,-3.2071345,-9.39606945,6410.27331339,-24887,131,17,249,-111,374
-13,-2,25,15,14,-0.21275949,-3.2071345,-9.39606945,-8.22794469,6420.63944097,-24857,17,249,-111,374,-93
-2,25,15,14,-39,-3.2071345,-9.39606945,-8.22794469,-10.35845361,6422.42668148,-24606,249,-111,374,-93,-356
25,15,14,-39,88,-9.39606945,-8.22794469,-10.35845361,-8.92529901,6394.21954698,-24742,-111,374,-93,-356,-107
15,14,-39,88,-38,-8.22794469,-10.35845361,-8.92529901,-9.25655506,6369.82347753,-24383,374,-93,-356,-107,-147
14,-39,88,-38,-40,-10.35845361,-8.92529901,-9.25655506,-4.56805541,6347.59553284,-24490,-93,-356,-107,-147,81
