t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
103,-42,-59,-86,-8,9.48344772,2.024432468,2.908415766,1.839191779,7216.05444718,-28924,1891,82,127,792,499
-42,-59,-86,-8,-74,2.024432468,2.908415766,1.839191779,-2.744773605,7267.5378949,-28800,82,127,792,499,193
-59,-86,-8,-74,-53,2.908415766,1.839191779,-2.744773605,0.320231573,7328.56232737,-28614,127,792,499,193,46
-86,-8,-74,-53,-32,1.839191779,-2.744773605,0.320231573,1.454644876,7417.47074313,-27736,792,499,193,46,1287
-8,-74,-53,-32,-81,-2.744773605,0.320231573,1.454644876,-2.04357452,7427.30993491,-27229,499,193,46,1287,391
-74,-53,-32,-81,220,0.320231573,1.454644876,-2.04357452,1.847369016,7498.56516131,-26962,193,46,1287,391,464
-53,-32,-81,220,-208,1.454644876,-2.04357452,1.847369016,-3.521061884,7551.88539288,-26863,46,1287,391,464,754
-32,-81,220,-208,-60,-2.04357452,1.847369016,-3.521061884,-4.559802464,7585.34003776,-25544,1287,391,464,754,83
-81,220,-208,-60,-76,1.847369016,-3.521061884,-4.559802464,-0.78965451,7664.29646324,-25072,391,464,754,83,131
220,-208,-60,-76,-40,-3.521061884,-4.559802464,-0.78965451,-2.633872425,7446.14383225,-24828,464,754,83,131,17
-208,-60,-76,-40,81,-4.559802464,-0.78965451,-2.633872425,-0.21275949,7650.62277037,-23866,754,83,131,17,249
-60,-76,-40,81,94,-0.78965451,-2.633872425,-0.21275949,-3.2071345,7706.0629679,-23723,83,131,17,249,-111
-76,-40,81,94,-114,-2.633872425,-0.21275949,-3.2071345,-9.39606945,7781.27331339,-23516,131,17,249,-111,374
-40,81,94,-114,-118,-0.21275949,-3.2071345,-9.39606945,-8.22794469,7818.63944097,-23459,17,249,-111,374,-93
81,94,-114,-118,-99,-3.2071345,-9.39606945,-8.22794469,-10.35845361,7737.42668148,-23291,249,-111,374,-93,-356
94,-114,-118,-99,-37,-9.39606945,-8.22794469,-10.35845361,-8.92529901,7640.21954698,-23496,-111,374,-93,-356,-107
-114,-118,-99,-37,-159,-8.22794469,-10.35845361,-8.92529901,-9.25655506,7744.82347753,-23008,374,-93,-356,-107,-147
-118,-99,-37,-159,245,-10.35845361,-8.92529901,-9.25655506,-4.56805541,7854.59553284,-22983,-93,-356,-107,-147,81
-99,-37,-159,245,26,-8.92529901,-9.25655506,-4.56805541,-7.9327002,7943.23707923,-23240,-356,-107,-147,81,-139
-37,-159,245,26,-50,-9.25655506,-4.56805541,-7.9327002,-5.36664497,7971.31178022,-23310,-107,-147,81,-139,188
-159,245,26,-50,15,-4.56805541,-7.9327002,-5.36664497,0.27151667,8121.05522516,-23298,-147,81,-139,188,317
245,26,-50,15,128,-7.9327002,-5.36664497,0.27151667,-7.36788489,7871.48716975,-23462,81,-139,188,317,352
26,-50,15,128,-36,-5.36664497,0.27151667,-7.36788489,-1.98850005,7837.55446955,-23627,-139,188,317,352,410
-50,15,128,-36,-100,0.27151667,-7.36788489,-1.98850005,0.74040613,7882.18782458,-23389,188,317,352,410,716
15,128,-36,-100,153,-7.36788489,-1.98850005,0.74040613,4.26803452,7867.45934125,-23087,317,352,410,716,549
128,-36,-100,153,-34,-1.98850005,0.74040613,4.26803452,3.36617717,7732.09145636,-22863,352,410,716,549,689
-36,-100,153,-34,9,0.74040613,4.26803452,3.36617717,1.29216703,7766.10295631,-22417,410,716,549,689,327
-100,153,-34,9,-130,4.26803452,3.36617717,1.29216703,0.73892157,7866.84336244,-21601,716,549,689,327,307
153,-34,9,-130,-95,3.36617717,1.29216703,0.73892157,-0.2423259,7718.11139696,-21205,549,689,327,307,243
-34,9,-130,-95,262,1.29216703,0.73892157,-0.2423259,4.04665546,7755.47757413,-20482,689,327,307,243,164
9,-130,-95,262,46,0.73892157,-0.2423259,4.04665546,10.19266799,7747.76974116,-20164,327,307,243,164,65
-130,-95,262,46,101,-0.2423259,4.04665546,10.19266799,9.35452691,7878.50866273,-19727,307,243,164,65,53
-95,262,46,101,119,4.04665546,10.19266799,9.35452691,9.2190145,7973.26633683,-19389,243,164,65,53,125
262,46,101,119,153,10.19266799,9.35452691,9.2190145,6.81089829,7715.31299229,-19487,164,65,53,125,367
46,101,119,153,156,9.35452691,9.2190145,6.81089829,3.09085486,7679.50566028,-19468,65,53,125,367,621
101,119,153,156,-44,9.2190145,6.81089829,3.09085486,2.0050723,7587.86018719,-19516,53,125,367,621,83
119,153,156,-44,-38,6.81089829,3.09085486,2.0050723,-2.27791754,7478.07920169,-19510,125,367,621,83,18
153,156,-44,-38,-23,3.09085486,2.0050723,-2.27791754,0.17597266,7331.89009998,-19296,367,621,83,18,9
156,-44,-38,-23,52,2.0050723,-2.27791754,0.17597266,2.64210995,7178.98095484,-18831,621,83,18,9,19
-44,-38,-23,52,-21,-2.27791754,0.17597266,2.64210995,1.55975,7224.98602714,-18704,83,18,9,19,52
-38,-23,52,-21,83,0.17597266,2.64210995,1.55975,9.8662287,7260.7081096,-18648,18,9,19,52,9
-23,52,-21,83,-89,2.64210995,1.55975,9.8662287,-4.25363274,7283.88408226,-18616,9,19,52,9,174
52,-21,83,-89,-63,1.55975,9.8662287,-4.25363274,-8.86178437,7234.52619221,-18649,19,52,9,174,-259
-21,83,-89,-63,-122,9.8662287,-4.25363274,-8.86178437,-4.83791868,7257.08594221,-18576,52,9,174,-259,-175
83,-89,-63,-122,-34,-4.25363274,-8.86178437,-4.83791868,-5.36003991,7183.95217091,-18650,9,174,-259,-175,-65
-89,-63,-122,-34,-51,-8.86178437,-4.83791868,-5.36003991,-7.12507253,7268.69853817,-18387,174,-259,-175,-65,-18
-63,-122,-34,-51,-42,-4.83791868,-5.36003991,-7.12507253,-1.10993931,7322.8367538,-18583,-259,-175,-65,-18,-23
-122,-34,-51,-42,20,-5.36003991,-7.12507253,-1.10993931,-5.48129658,7439.99883512,-18636,-175,-65,-18,-23,-115
-34,-51,-42,20,55,-7.12507253,-1.10993931,-5.48129658,-10.56868972,7468.63879521,-18667,-65,-18,-23,-115,-129
-51,-42,20,55,-68,-1.10993931,-5.48129658,-10.56868972,-6.64138442,7512.51372268,-18634,-18,-23,-115,-129,-122
-42,20,55,-68,21,-5.48129658,-10.56868972,-6.64138442,-2.25328399,7553.40378337,-18615,-23,-115,-129,-122,-63
20,55,-68,21,130,-10.56868972,-6.64138442,-2.25328399,-2.4769224,7527.92248679,-18750,-115,-129,-122,-63,-35
55,-68,21,130,36,-6.64138442,-2.25328399,-2.4769224,-2.02472658,7462.35379707,-18934,-129,-122,-63,-35,328
-68,21,130,36,78,-2.25328399,-2.4769224,-2.02472658,3.28551702,7523.71241265,-18988,-122,-63,-35,328,260
21,130,36,78,50,-2.4769224,-2.02472658,3.28551702,-0.7430688,7500.45912866,-19072,-63,-35,328,260,409
130,36,78,50,106,-2.02472658,3.28551702,-0.7430688,2.31400299,7367.98220626,-19237,-35,328,260,409,471
36,78,50,106,126,3.28551702,-0.7430688,2.31400299,10.7945725,7329.95747968,-18945,328,260,409,471,-5
78,50,106,126,47,-0.7430688,2.31400299,10.7945725,9.7190954,7255.2429967,-18763,260,409,471,-5,341
50,106,126,47,47,2.31400299,10.7945725,9.7190954,15.86252535,7204.4999279,-18404,409,471,-5,341,493
106,126,47,47,122,10.7945725,9.7190954,15.86252535,12.11795413,7100.81393089,-18039,471,-5,341,493,-30
126,47,47,122,136,9.7190954,15.86252535,12.11795413,10.66398231,6985.60850339,-18170,-5,341,493,-30,336
47,47,122,136,144,15.86252535,12.11795413,10.66398231,8.51280598,6948.32759879,-17876,341,493,-30,336,424
47,122,136,144,97,12.11795413,10.66398231,8.51280598,5.558435811,6917.19012414,-17430,493,-30,336,424,379
122,136,144,97,-54,10.66398231,8.51280598,5.558435811,8.53010851,6807.30807827,-17582,-30,336,424,379,-891
136,144,97,-54,24,8.51280598,5.558435811,8.53010851,-6.188108953,6681.97206058,-17382,336,424,379,-891,-318
