t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
-43,-45,25,-3,-35,9.48344772,2.024432468,2.908415766,1.839191779,4522.05444718,-31618,1891,82,127,792,499
-45,25,-3,-35,-79,2.024432468,2.908415766,1.839191779,-2.744773605,4576.5378949,-31491,82,127,792,499,193
25,-3,-35,-79,-73,2.908415766,1.839191779,-2.744773605,0.320231573,4553.56232737,-31389,127,792,499,193,46
-3,-35,-79,-73,-16,1.839191779,-2.744773605,0.320231573,1.454644876,4559.47074313,-30594,792,499,193,46,1287
-35,-79,-73,-16,-94,-2.744773605,0.320231573,1.454644876,-2.04357452,4596.30993491,-30060,499,193,46,1287,391
-79,-73,-16,-94,53,0.320231573,1.454644876,-2.04357452,1.847369016,4672.56516131,-29788,193,46,1287,391,464
-73,-16,-94,53,-102,1.454644876,-2.04357452,1.847369016,-3.521061884,4745.88539288,-29669,46,1287,391,464,754
-16,-94,53,-102,19,-2.04357452,1.847369016,-3.521061884,-4.559802464,4763.34003776,-28366,1287,391,464,754,83
-94,53,-102,19,15,1.847369016,-3.521061884,-4.559802464,-0.78965451,4855.29646324,-27881,391,464,754,83,131
53,-102,19,15,-3,-3.521061884,-4.559802464,-0.78965451,-2.633872425,4804.14383225,-27470,464,754,83,131,17
-102,19,15,-3,35,-4.559802464,-0.78965451,-2.633872425,-0.21275949,4902.62277037,-26614,754,83,131,17,249
19,15,-3,35,-68,-0.78965451,-2.633872425,-0.21275949,-3.2071345,4879.0629679,-26550,83,131,17,249,-111
15,-3,35,-68,26,-2.633872425,-0.21275949,-3.2071345,-9.39606945,4863.27331339,-26434,131,17,249,-111,374
-3,35,-68,26,25,-0.21275949,-3.2071345,-9.39606945,-8.22794469,4863.63944097,-26414,17,249,-111,374,-93
35,-68,26,25,-50,-3.2071345,-9.39606945,-8.22794469,-10.35845361,4828.42668148,-26200,249,-111,374,-93,-356
-68,26,25,-50,-41,-9.39606945,-8.22794469,-10.35845361,-8.92529901,4893.21954698,-26243,-111,374,-93,-356,-107
26,25,-50,-41,-17,-8.22794469,-10.35845361,-8.92529901,-9.25655506,4857.82347753,-25895,374,-93,-356,-107,-147
25,-50,-41,-17,6,-10.35845361,-8.92529901,-9.25655506,-4.56805541,4824.59553284,-26013,-93,-356,-107,-147,81
-50,-41,-17,6,-142,-8.92529901,-9.25655506,-4.56805541,-7.9327002,4864.23707923,-26319,-356,-107,-147,81,-139
-41,-17,6,-142,8,-9.25655506,-4.56805541,-7.9327002,-5.36664497,4896.31178022,-26385,-107,-147,81,-139,188
-17,6,-142,8,-37,-4.56805541,-7.9327002,-5.36664497,0.27151667,4904.05522516,-26515,-147,81,-139,188,317
6,-142,8,-37,-101,-7.9327002,-5.36664497,0.27151667,-7.36788489,4893.48716975,-26440,81,-139,188,317,352
-142,8,-37,-101,4,-5.36664497,0.27151667,-7.36788489,-1.98850005,5027.55446955,-26437,-139,188,317,352,410
8,-37,-101,4,-78,0.27151667,-7.36788489,-1.98850005,0.74040613,5014.18782458,-26257,188,317,352,410,716
-37,-101,4,-78,38,-7.36788489,-1.98850005,0.74040613,4.26803452,5051.45934125,-25903,317,352,410,716,549
-101,4,-78,38,72,-1.98850005,0.74040613,4.26803452,3.36617717,5145.09145636,-25450,352,410,716,549,689
4,-78,38,72,47,0.74040613,4.26803452,3.36617717,1.29216703,5139.10295631,-25044,410,716,549,689,327
-78,38,72,47,-144,4.26803452,3.36617717,1.29216703,0.73892157,5217.84336244,-24250,716,549,689,327,307
38,72,47,-144,-36,3.36617717,1.29216703,0.73892157,-0.2423259,5184.11139696,-23739,549,689,327,307,243
72,47,-144,-36,37,1.29216703,0.73892157,-0.2423259,4.04665546,5115.47757413,-23122,689,327,307,243,164
47,-144,-36,37,165,0.73892157,-0.2423259,4.04665546,10.19266799,5069.76974116,-22842,327,307,243,164,65
-144,-36,37,165,73,-0.2423259,4.04665546,10.19266799,9.35452691,5214.50866273,-22391,307,243,164,65,53
-36,37,165,73,-8,4.04665546,10.19266799,9.35452691,9.2190145,5250.26633683,-22112,243,164,65,53,125
37,165,73,-8,96,10.19266799,9.35452691,9.2190145,6.81089829,5217.31299229,-21985,164,65,53,125,367
