t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
-5,-53,-21,8,0,9.48344772,2.024432468,2.908415766,1.839191779,7210.05444718,-28930,1891,82,127,792,499
-53,-21,8,0,63,2.024432468,2.908415766,1.839191779,-2.744773605,7272.5378949,-28795,82,127,792,499,193
-21,8,0,63,92,2.908415766,1.839191779,-2.744773605,0.320231573,7295.56232737,-28647,127,792,499,193,46
8,0,63,92,27,1.839191779,-2.744773605,0.320231573,1.454644876,7290.47074313,-27863,792,499,193,46,1287
0,63,92,27,-4,-2.744773605,0.320231573,1.454644876,-2.04357452,7292.30993491,-27364,499,193,46,1287,391
63,92,27,-4,-75,0.320231573,1.454644876,-2.04357452,1.847369016,7226.56516131,-27234,193,46,1287,391,464
92,27,-4,-75,-113,1.454644876,-2.04357452,1.847369016,-3.521061884,7134.88539288,-27280,46,1287,391,464,754
27,-4,-75,-113,-50,-2.04357452,1.847369016,-3.521061884,-4.559802464,7109.34003776,-26020,1287,391,464,754,83
-4,-75,-113,-50,4,1.847369016,-3.521061884,-4.559802464,-0.78965451,7111.29646324,-25625,391,464,754,83,131
-75,-113,-50,4,-77,-3.521061884,-4.559802464,-0.78965451,-2.633872425,7188.14383225,-25086,464,754,83,131,17
-113,-50,4,-77,-95,-4.559802464,-0.78965451,-2.633872425,-0.21275949,7297.62277037,-24219,754,83,131,17,249
-50,4,-77,-95,-134,-0.78965451,-2.633872425,-0.21275949,-3.2071345,7343.0629679,-24086,83,131,17,249,-111
4,-77,-95,-134,-170,-2.633872425,-0.21275949,-3.2071345,-9.39606945,7338.27331339,-23959,131,17,249,-111,374
-77,-95,-134,-170,79,-0.21275949,-3.2071345,-9.39606945,-8.22794469,7412.63944097,-23865,17,249,-111,374,-93
-95,-134,-170,79,-115,-3.2071345,-9.39606945,-8.22794469,-10.35845361,7507.42668148,-23521,249,-111,374,-93,-356
-134,-170,79,-115,-57,-9.39606945,-8.22794469,-10.35845361,-8.92529901,7638.21954698,-23498,-111,374,-93,-356,-107
-170,79,-115,-57,-206,-8.22794469,-10.35845361,-8.92529901,-9.25655506,7798.82347753,-22954,374,-93,-356,-107,-147
79,-115,-57,-206,49,-10.35845361,-8.92529901,-9.25655506,-4.56805541,7711.59553284,-23126,-93,-356,-107,-147,81
-115,-57,-206,49,-138,-8.92529901,-9.25655506,-4.56805541,-7.9327002,7816.23707923,-23367,-356,-107,-147,81,-139
-57,-206,49,-138,-188,-9.25655506,-4.56805541,-7.9327002,-5.36664497,7864.31178022,-23417,-107,-147,81,-139,188
-206,49,-138,-188,49,-4.56805541,-7.9327002,-5.36664497,0.27151667,8061.05522516,-23358,-147,81,-139,188,317
49,-138,-188,49,-60,-7.9327002,-5.36664497,0.27151667,-7.36788489,8007.48716975,-23326,81,-139,188,317,352
-138,-188,49,-60,-62,-5.36664497,0.27151667,-7.36788489,-1.98850005,8137.55446955,-23327,-139,188,317,352,410
-188,49,-60,-62,-179,0.27151667,-7.36788489,-1.98850005,0.74040613,8320.18782458,-22951,188,317,352,410,716
49,-60,-62,-179,-128,-7.36788489,-1.98850005,0.74040613,4.26803452,8271.45934125,-22683,317,352,410,716,549
-60,-62,-179,-128,30,-1.98850005,0.74040613,4.26803452,3.36617717,8324.09145636,-22271,352,410,716,549,689
-62,-179,-128,30,83,0.74040613,4.26803452,3.36617717,1.29216703,8384.10295631,-21799,410,716,549,689,327
-179,-128,30,83,164,4.26803452,3.36617717,1.29216703,0.73892157,8563.84336244,-20904,716,549,689,327,307
-128,30,83,164,-14,3.36617717,1.29216703,0.73892157,-0.2423259,8696.11139696,-20227,549,689,327,307,243
30,83,164,-14,-75,1.29216703,0.73892157,-0.2423259,4.04665546,8669.47757413,-19568,689,327,307,243,164
83,164,-14,-75,151,0.73892157,-0.2423259,4.04665546,10.19266799,8587.76974116,-19324,327,307,243,164,65
164,-14,-75,151,288,-0.2423259,4.04665546,10.19266799,9.35452691,8424.50866273,-19181,307,243,164,65,53
