t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
-17,-23,-42,-4,108,-5.48129658,-10.56868972,-6.64138442,-2.25328399,7261.40378337,-18907,-23,-115,-129,-122,-63
-23,-42,-4,108,-24,-10.56868972,-6.64138442,-2.25328399,-2.4769224,7278.92248679,-18999,-115,-129,-122,-63,-35
-42,-4,108,-24,119,-6.64138442,-2.25328399,-2.4769224,-2.02472658,7310.35379707,-19086,-129,-122,-63,-35,328
-4,108,-24,119,82,-2.25328399,-2.4769224,-2.02472658,3.28551702,7307.71241265,-19204,-122,-63,-35,328,260
108,-24,119,82,-1,-2.4769224,-2.02472658,3.28551702,-0.7430688,7197.45912866,-19375,-63,-35,328,260,409
-24,119,82,-1,130,-2.02472658,3.28551702,-0.7430688,2.31400299,7218.98220626,-19386,-35,328,260,409,471
119,82,-1,130,115,3.28551702,-0.7430688,2.31400299,10.7945725,7097.95747968,-19177,328,260,409,471,-5
82,-1,130,115,119,-0.7430688,2.31400299,10.7945725,9.7190954,7019.2429967,-18999,260,409,471,-5,341
-1,130,115,119,218,2.31400299,10.7945725,9.7190954,15.86252535,7019.4999279,-18589,409,471,-5,341,493
130,115,119,218,68,10.7945725,9.7190954,15.86252535,12.11795413,6891.81393089,-18248,471,-5,341,493,-30
115,119,218,68,128,9.7190954,15.86252535,12.11795413,10.66398231,6787.60850339,-18368,-5,341,493,-30,336
119,218,68,128,151,15.86252535,12.11795413,10.66398231,8.51280598,6678.32759879,-18146,341,493,-30,336,424
218,68,128,151,110,12.11795413,10.66398231,8.51280598,5.558435811,6476.19012414,-17871,493,-30,336,424,379
68,128,151,110,-4,10.66398231,8.51280598,5.558435811,8.53010851,6420.30807827,-17969,-30,336,424,379,-891
128,151,110,-4,-13,8.51280598,5.558435811,8.53010851,-6.188108953,6302.97206058,-17761,336,424,379,-891,-318
