t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
-28,-47,-46,-58,-62,-5.48129658,-10.56868972,-6.64138442,-2.25328399,4796.40378337,-21372,-23,-115,-129,-122,-63
-47,-46,-58,-62,21,-10.56868972,-6.64138442,-2.25328399,-2.4769224,4837.92248679,-21440,-115,-129,-122,-63,-35
-46,-58,-62,21,-11,-6.64138442,-2.25328399,-2.4769224,-2.02472658,4873.35379707,-21523,-129,-122,-63,-35,328
-58,-62,21,-11,73,-2.25328399,-2.4769224,-2.02472658,3.28551702,4924.71241265,-21587,-122,-63,-35,328,260
-62,21,-11,73,41,-2.4769224,-2.02472658,3.28551702,-0.7430688,4984.45912866,-21588,-63,-35,328,260,409
21,-11,73,41,37,-2.02472658,3.28551702,-0.7430688,2.31400299,4960.98220626,-21644,-35,328,260,409,471
-11,73,41,37,62,3.28551702,-0.7430688,2.31400299,10.7945725,4969.95747968,-21305,328,260,409,471,-5
73,41,37,62,-57,-0.7430688,2.31400299,10.7945725,9.7190954,4900.2429967,-21118,260,409,471,-5,341
41,37,62,-57,34,2.31400299,10.7945725,9.7190954,15.86252535,4858.4999279,-20750,409,471,-5,341,493
37,62,-57,34,146,10.7945725,9.7190954,15.86252535,12.11795413,4823.81393089,-20316,471,-5,341,493,-30
62,-57,34,146,31,9.7190954,15.86252535,12.11795413,10.66398231,4772.60850339,-20383,-5,341,493,-30,336
-57,34,146,31,-5,15.86252535,12.11795413,10.66398231,8.51280598,4839.32759879,-19985,341,493,-30,336,424
34,146,31,-5,35,12.11795413,10.66398231,8.51280598,5.558435811,4821.19012414,-19526,493,-30,336,424,379
146,31,-5,35,-38,10.66398231,8.51280598,5.558435811,8.53010851,4687.30807827,-19702,-30,336,424,379,-891
31,-5,35,-38,-28,8.51280598,5.558435811,8.53010851,-6.188108953,4666.97206058,-19397,336,424,379,-891,-318
