"names","coe_0","coe_1","coe_2","coe_3","coe_4","coe_5","coe_6","coe_7","coe_8","coe_9","coe_10","coe_11","coe_12","coe_13","coe_14","coe_15","coe_16","coe_17","coe_18"
"(Intercept)",-1145.48180735811,104.217364022275,909.522543448889,1271.38786854221,1221.30795670024,1125.93444007349,688.482802477222,854.247062666368,1187.7227339414,1383.33864768896,1779.71056634435,1253.21826947013,440.643581653957,703.304893877937,1234.57868389391,1318.08744650899,163.592149111833,1048.21062869275,344.050094997928
"p.1",25.9416443282619,0,1.7234270967729,0,0,3.18025376531698,3.27370571996099,0,0,3.65798497533862,2.30016194282701,1.98863814804247,2.8974030774389,2.04979733343853,7.59959327053753,7.2810990171383,0,0,4.21329577025375
"p.2",0,0,2.30672367430532,0,0,4.54756234198405,4.99126143039194,0,0,-2.7589941308937,-3.7911894078401,-0.0552825029617964,-0.570356061692856,0.502092435148229,0,10.4971826780354,0,0,0.354771519540382
"p.3",0,0,0,0,0,2.65274994472834,0,0,0,1.36355630912704,8.44830709737084,2.45206179392432,3.07914855324182,2.23065871371692,0,0,0,0,0
"p.4",0,0,0,0,0,0,0,0,0,0,0,0.168872679416946,-2.49581027823638,0,0,0,0,0,0
"t.1",0,0.438564492248939,0.0653585128362545,0.112228082748887,0.266224863985517,0.0209601016942909,-0.346786256650877,0.287948654972363,-0.13869151484738,0.444899596006543,0,0.110768070042934,0,0,0,-0.0129027902460021,0.138703954195161,0.22473826222963,0
"t.2",0,0.193727093848791,-0.00263760633394983,-0.0361915344891044,0.433092499291034,0,-0.195842829398005,0,-0.128224303053002,0.136554163940111,0,0,0,0,0,-0.160270027001553,0,0.222934262453643,0
"t.3",0,-0.0519296148129031,-0.0836859802082089,0.165062117001888,0,0,-0.351745854639958,0,-0.0354714091197805,0.0943066750849424,0,0,0,0,0,-0.101072859875371,0,0.00751302835806484,0
"t.4",0,0.250507431826757,0.086688353900504,0,0,0,-0.103021243349999,0,0,0.0720125929656527,0,0,0,0,0,0,0,0,0
"t.p",0.0471053445154481,-0.0569953876104285,-0.11601561409512,-0.131617162282291,-0.142083478042449,-0.102528404276076,-0.0605672929086365,-0.189596242540455,-0.116521931578497,-0.0864817966623268,-0.134212737399439,-0.183109476281465,-0.046942774955345,-0.060927090952629,-0.108677219769361,-0.0936049648275571,-0.107439752262262,-0.156967281493918,-0.0642180794724832
"t.t0",0,-0.0334856806648079,0.00615775430180197,0.0212310611129477,-0.0140960095232534,0.0173061003360724,0.0111805381863747,-0.00204218732515107,0.0242816327846477,0.00353945796556696,0.0121621764615409,0.0078135770451772,0.00510925177199823,0.0107221475734105,0.0161148158932206,0.0200635354077269,-0.0229661231794434,0.0116968962369206,0.00311893485659777
"t0",0,0.130325210027441,-0.00619286700329825,0.0964750676924866,0.17969217093649,0,0,0.0640169874795144,0,0,0,-0.0211809173461962,0,0.0056953462007194,0,0.0622020006883802,0.0809141653281862,0,-0.00865639391675691
"t0.1",0,-0.0589928728325888,0.0758400838053695,0,0,0,0,0,0,0,0,0.0385856777061149,0,-0.0819021146316429,0,0.0049808706986401,0,0,-0.058996837168405
"t0.2",0,0.0597176619438395,-0.0179920036758216,0,0,0,0,0,0,0,0,0,0,0,0,-0.00220162107366393,0,0,0
"t0.3",0,0.014967172031709,-0.0572033553996278,0,0,0,0,0,0,0,0,0,0,0,0,-0.124598765187497,0,0,0
"t0.4",0,-0.0986192948882448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
