t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
97,92,-42,-104,-62,9.48344772,2.024432468,2.908415766,1.839191779,7262.05444718,-28878,1891,82,127,792,499
92,-42,-104,-62,-41,2.024432468,2.908415766,1.839191779,-2.744773605,7179.5378949,-28888,82,127,792,499,193
-42,-104,-62,-41,-103,2.908415766,1.839191779,-2.744773605,0.320231573,7223.56232737,-28719,127,792,499,193,46
-104,-62,-41,-103,-45,1.839191779,-2.744773605,0.320231573,1.454644876,7330.47074313,-27823,792,499,193,46,1287
-62,-41,-103,-45,-97,-2.744773605,0.320231573,1.454644876,-2.04357452,7394.30993491,-27262,499,193,46,1287,391
-41,-103,-45,-97,-67,0.320231573,1.454644876,-2.04357452,1.847369016,7432.56516131,-27028,193,46,1287,391,464
-103,-45,-97,-67,-120,1.454644876,-2.04357452,1.847369016,-3.521061884,7535.88539288,-26879,46,1287,391,464,754
-45,-97,-67,-120,-101,-2.04357452,1.847369016,-3.521061884,-4.559802464,7582.34003776,-25547,1287,391,464,754,83
-97,-67,-120,-101,44,1.847369016,-3.521061884,-4.559802464,-0.78965451,7677.29646324,-25059,391,464,754,83,131
-67,-120,-101,44,-89,-3.521061884,-4.559802464,-0.78965451,-2.633872425,7746.14383225,-24528,464,754,83,131,17
-120,-101,44,-89,-44,-4.559802464,-0.78965451,-2.633872425,-0.21275949,7862.62277037,-23654,754,83,131,17,249
-101,44,-89,-44,-72,-0.78965451,-2.633872425,-0.21275949,-3.2071345,7959.0629679,-23470,83,131,17,249,-111
44,-89,-44,-72,-295,-2.633872425,-0.21275949,-3.2071345,-9.39606945,7914.27331339,-23383,131,17,249,-111,374
-89,-44,-72,-295,-37,-0.21275949,-3.2071345,-9.39606945,-8.22794469,8000.63944097,-23277,17,249,-111,374,-93
-44,-72,-295,-37,-229,-3.2071345,-9.39606945,-8.22794469,-10.35845361,8044.42668148,-22984,249,-111,374,-93,-356
-72,-295,-37,-229,-73,-9.39606945,-8.22794469,-10.35845361,-8.92529901,8113.21954698,-23023,-111,374,-93,-356,-107
-295,-37,-229,-73,-67,-8.22794469,-10.35845361,-8.92529901,-9.25655506,8398.82347753,-22354,374,-93,-356,-107,-147
-37,-229,-73,-67,72,-10.35845361,-8.92529901,-9.25655506,-4.56805541,8427.59553284,-22410,-93,-356,-107,-147,81
-229,-73,-67,72,24,-8.92529901,-9.25655506,-4.56805541,-7.9327002,8646.23707923,-22537,-356,-107,-147,81,-139
-73,-67,72,24,-32,-9.25655506,-4.56805541,-7.9327002,-5.36664497,8710.31178022,-22571,-107,-147,81,-139,188
-67,72,24,-32,132,-4.56805541,-7.9327002,-5.36664497,0.27151667,8768.05522516,-22651,-147,81,-139,188,317
72,24,-32,132,-320,-7.9327002,-5.36664497,0.27151667,-7.36788489,8691.48716975,-22642,81,-139,188,317,352
24,-32,132,-320,38,-5.36664497,0.27151667,-7.36788489,-1.98850005,8659.55446955,-22805,-139,188,317,352,410
-32,132,-320,38,5,0.27151667,-7.36788489,-1.98850005,0.74040613,8686.18782458,-22585,188,317,352,410,716
132,-320,38,5,-95,-7.36788489,-1.98850005,0.74040613,4.26803452,8554.45934125,-22400,317,352,410,716,549
-320,38,5,-95,-182,-1.98850005,0.74040613,4.26803452,3.36617717,8867.09145636,-21728,352,410,716,549,689
38,5,-95,-182,5,0.74040613,4.26803452,3.36617717,1.29216703,8827.10295631,-21356,410,716,549,689,327
5,-95,-182,5,-1,4.26803452,3.36617717,1.29216703,0.73892157,8822.84336244,-20645,716,549,689,327,307
-95,-182,5,-1,-7,3.36617717,1.29216703,0.73892157,-0.2423259,8922.11139696,-20001,549,689,327,307,243
-182,5,-1,-7,-37,1.29216703,0.73892157,-0.2423259,4.04665546,9107.47757413,-19130,689,327,307,243,164
5,-1,-7,-37,-74,0.73892157,-0.2423259,4.04665546,10.19266799,9103.76974116,-18808,327,307,243,164,65
-1,-7,-37,-74,111,-0.2423259,4.04665546,10.19266799,9.35452691,9105.50866273,-18500,307,243,164,65,53
-7,-37,-74,111,67,4.04665546,10.19266799,9.35452691,9.2190145,9112.26633683,-18250,243,164,65,53,125
-37,-74,111,67,-74,10.19266799,9.35452691,9.2190145,6.81089829,9153.31299229,-18049,164,65,53,125,367
-74,111,67,-74,349,9.35452691,9.2190145,6.81089829,3.09085486,9237.50566028,-17910,65,53,125,367,621
111,67,-74,349,56,9.2190145,6.81089829,3.09085486,2.0050723,9135.86018719,-17968,53,125,367,621,83
67,-74,349,56,38,6.81089829,3.09085486,2.0050723,-2.27791754,9078.07920169,-17910,125,367,621,83,18
-74,349,56,38,37,3.09085486,2.0050723,-2.27791754,0.17597266,9158.89009998,-17469,367,621,83,18,9
349,56,38,37,-7,2.0050723,-2.27791754,0.17597266,2.64210995,8812.98095484,-17197,621,83,18,9,19
56,38,37,-7,-28,-2.27791754,0.17597266,2.64210995,1.55975,8758.98602714,-17170,83,18,9,19,52
38,37,-7,-28,10,0.17597266,2.64210995,1.55975,9.8662287,8718.7081096,-17190,18,9,19,52,9
37,-7,-28,10,-48,2.64210995,1.55975,9.8662287,-4.25363274,8681.88408226,-17218,9,19,52,9,174
-7,-28,10,-48,-120,1.55975,9.8662287,-4.25363274,-8.86178437,8691.52619221,-17192,19,52,9,174,-259
-28,10,-48,-120,-49,9.8662287,-4.25363274,-8.86178437,-4.83791868,8721.08594221,-17112,52,9,174,-259,-175
10,-48,-120,-49,-63,-4.25363274,-8.86178437,-4.83791868,-5.36003991,8720.95217091,-17113,9,174,-259,-175,-65
-48,-120,-49,-63,-51,-8.86178437,-4.83791868,-5.36003991,-7.12507253,8764.69853817,-16891,174,-259,-175,-65,-18
-120,-49,-63,-51,-10,-4.83791868,-5.36003991,-7.12507253,-1.10993931,8875.8367538,-17030,-259,-175,-65,-18,-23
-49,-63,-51,-10,23,-5.36003991,-7.12507253,-1.10993931,-5.48129658,8919.99883512,-17156,-175,-65,-18,-23,-115
-63,-51,-10,23,-5,-7.12507253,-1.10993931,-5.48129658,-10.56868972,8977.63879521,-17158,-65,-18,-23,-115,-129
-51,-10,23,-5,-39,-1.10993931,-5.48129658,-10.56868972,-6.64138442,9021.51372268,-17125,-18,-23,-115,-129,-122
-10,23,-5,-39,74,-5.48129658,-10.56868972,-6.64138442,-2.25328399,9030.40378337,-17138,-23,-115,-129,-122,-63
23,-5,-39,74,16,-10.56868972,-6.64138442,-2.25328399,-2.4769224,9001.92248679,-17276,-115,-129,-122,-63,-35
-5,-39,74,16,10,-6.64138442,-2.25328399,-2.4769224,-2.02472658,8996.35379707,-17400,-129,-122,-63,-35,328
-39,74,16,10,34,-2.25328399,-2.4769224,-2.02472658,3.28551702,9028.71241265,-17483,-122,-63,-35,328,260
74,16,10,34,-5,-2.4769224,-2.02472658,3.28551702,-0.7430688,8952.45912866,-17620,-63,-35,328,260,409
16,10,34,-5,-35,-2.02472658,3.28551702,-0.7430688,2.31400299,8933.98220626,-17671,-35,328,260,409,471
10,34,-5,-35,-25,3.28551702,-0.7430688,2.31400299,10.7945725,8921.95747968,-17353,328,260,409,471,-5
34,-5,-35,-25,10,-0.7430688,2.31400299,10.7945725,9.7190954,8891.2429967,-17127,260,409,471,-5,341
-5,-35,-25,10,41,2.31400299,10.7945725,9.7190954,15.86252535,8895.4999279,-16713,409,471,-5,341,493
-35,-25,10,41,-1,10.7945725,9.7190954,15.86252535,12.11795413,8932.81393089,-16207,471,-5,341,493,-30
-25,10,41,-1,2,9.7190954,15.86252535,12.11795413,10.66398231,8968.60850339,-16187,-5,341,493,-30,336
10,41,-1,2,79,15.86252535,12.11795413,10.66398231,8.51280598,8968.32759879,-15856,341,493,-30,336,424
41,-1,2,79,11,12.11795413,10.66398231,8.51280598,5.558435811,8943.19012414,-15404,493,-30,336,424,379
-1,2,79,11,209,10.66398231,8.51280598,5.558435811,8.53010851,8956.30807827,-15433,-30,336,424,379,-891
2,79,11,209,-384,8.51280598,5.558435811,8.53010851,-6.188108953,8964.97206058,-15099,336,424,379,-891,-318
