t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
-1,10,3,-25,2,9.48344772,2.024432468,2.908415766,1.839191779,7269.05444718,-28871,1891,82,127,792,499
10,3,-25,2,-143,2.024432468,2.908415766,1.839191779,-2.744773605,7268.5378949,-28799,82,127,792,499,193
3,-25,2,-143,-158,2.908415766,1.839191779,-2.744773605,0.320231573,7267.56232737,-28675,127,792,499,193,46
-25,2,-143,-158,40,1.839191779,-2.744773605,0.320231573,1.454644876,7295.47074313,-27858,792,499,193,46,1287
2,-143,-158,40,2,-2.744773605,0.320231573,1.454644876,-2.04357452,7295.30993491,-27361,499,193,46,1287,391
-143,-158,40,2,48,0.320231573,1.454644876,-2.04357452,1.847369016,7435.56516131,-27025,193,46,1287,391,464
-158,40,2,48,-77,1.454644876,-2.04357452,1.847369016,-3.521061884,7593.88539288,-26821,46,1287,391,464,754
40,2,48,-77,-71,-2.04357452,1.847369016,-3.521061884,-4.559802464,7555.34003776,-25574,1287,391,464,754,83
2,48,-77,-71,11,1.847369016,-3.521061884,-4.559802464,-0.78965451,7551.29646324,-25185,391,464,754,83,131
48,-77,-71,11,-25,-3.521061884,-4.559802464,-0.78965451,-2.633872425,7505.14383225,-24769,464,754,83,131,17
-77,-71,11,-25,-102,-4.559802464,-0.78965451,-2.633872425,-0.21275949,7578.62277037,-23938,754,83,131,17,249
-71,11,-25,-102,-224,-0.78965451,-2.633872425,-0.21275949,-3.2071345,7645.0629679,-23784,83,131,17,249,-111
11,-25,-102,-224,-76,-2.633872425,-0.21275949,-3.2071345,-9.39606945,7633.27331339,-23664,131,17,249,-111,374
-25,-102,-224,-76,-197,-0.21275949,-3.2071345,-9.39606945,-8.22794469,7655.63944097,-23622,17,249,-111,374,-93
-102,-224,-76,-197,-35,-3.2071345,-9.39606945,-8.22794469,-10.35845361,7757.42668148,-23271,249,-111,374,-93,-356
-224,-76,-197,-35,2,-9.39606945,-8.22794469,-10.35845361,-8.92529901,7978.21954698,-23158,-111,374,-93,-356,-107
-76,-197,-35,2,12,-8.22794469,-10.35845361,-8.92529901,-9.25655506,8044.82347753,-22708,374,-93,-356,-107,-147
