0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.047105345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.028232793,-0.06362083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000129431,0,-0.074512659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.021886192,0,0,-0.106824133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01409601,0,0,0,-0.156179488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.015226904,0,0,0,0,-0.073432499,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.018300156,0,0,0,0,0,-0.078988924,0,0,0,0,0,0,0,0,0,0,0,0
0.00249291,0,0,0,0,0,0,-0.173773948,0,0,0,0,0,0,0,0,0,0,0
-0.020987913,0,0,0,0,0,0,0,-0.081211896,0,0,0,0,0,0,0,0,0,0
-0.015797831,0,0,0,0,0,0,0,0,-0.070841879,0,0,0,0,0,0,0,0,0
-0.014245141,0,0,0,0,0,0,0,0,0,-0.113255655,0,0,0,0,0,0,0,0
-0.006966228,0,0,0,0,0,0,0,0,0,0,-0.163874923,0,0,0,0,0,0,0
-0.004842186,0,0,0,0,0,0,0,0,0,0,0,-0.05295363,0,0,0,0,0,0
-0.012822367,0,0,0,0,0,0,0,0,0,0,0,0,-0.045791381,0,0,0,0,0
-0.014779959,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084834171,0,0,0,0
-0.023236327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097275829,0,0,0
0.041090839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198460028,0,0
-0.01364915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156403682,0
-0.006982815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081609835
