城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10629,-0.403,-0.524
北京,32504,0.691,3.923
上海,31766,-0.292,5.904
天津,10597,-1.157,-2.034
重庆,7358,-1.906,-4.305
深圳,30243,0.249,0.908
广州,17506,-1.574,-0.398
杭州,16166,-2.579,-7.781
南京,13889,0.492,4.783
武汉,7893,-0.991,-3.744
成都,8039,0.212,-2.487
苏州,11988,-0.852,-4.721
大连,11119,-0.874,-3.363
厦门,20836,0.706,14.78
西安,6895,-0.13,-5.171
长沙,6473,0.062,-5.738
宁波,12723,-1.019,-4.453
东莞,9368,-0.362,1.276
无锡,8163,-0.439,-6.9
福州,14236,-1.05,-6.225
沈阳,7366,0.041,-4.039
青岛,9336,-1.028,-2.445
济南,8739,0.912,0.183
南昌,9124,-0.099,-7.773
合肥,7383,0.19,4.872
郑州,9131,-0.815,-5.014
太原,6950,-0.672,4.684
石家庄,7049,0.327,9.798
长春,6816,-1.045,-3.647
哈尔滨,7243,0.695,-1.976
呼和浩特,6919,-1.002,-3.541
海口,9558,-1.959,-9.006
南宁,7764,-1.322,-2.29
兰州,7099,-2.164,-6.432
昆明,8200,1.085,-4.751
贵阳,4788,-2.505,-4.144
西宁,5920,-0.202,3.533
银川,5122,0.412,-0.486
乌鲁木齐,7524,-0.817,-1.711
温州,13551,0.519,-10.925
潍坊,4607,-0.839,-1.201
包头,5503,-1.609,-6.871
北海,5782,-0.772,-0.908
常州,7290,-0.749,-9.193
桂林,5497,-3.256,-9.395
嘉兴,7342,-1.582,-7.45
南通,8812,0.905,-9.787
唐山,5939,-0.536,-5.4
徐州,5969,-0.566,-2.499
镇江,6565,-0.167,-0.213
扬州,8970,-1.72,-3.434
佛山,8614,-0.058,-7.107
惠州,6543,-1.178,-1.431
昆山,8998,-0.288,-0.255
廊坊,7255,1.002,1.143
连云港,5786,-0.224,0.19
洛阳,5332,-0.984,-2.452
秦皇岛,6873,-0.058,-1.349
三亚,21683,-1.468,-11.397
汕头,8462,0.87,-2.825
烟台,6468,0.201,-2.104
中山,6190,-1.213,-3.417
珠海,13309,0.681,4.27
吉林,5748,-1.542,-6.779
金华,9058,-2.129,-6.849
泉州,7765,-1.908,1.53
赣州,5816,-0.835,1.306
宜昌,5768,-0.242,4.228
湛江,7170,-3.887,-4.438
江门,6137,-2.152,-2.695
舟山,0,0,0
鞍山,5071,-1.034,-6.749
宝鸡,4091,-2.035,-11.965
保定,5670,0.478,11.768
德州,4531,-2.643,-7.625
东营,5715,-1.787,-2.424
鄂尔多斯,8966,-0.234,-3.436
邯郸,5063,0.696,3.729
菏泽,4447,-1.832,-15.456
湖州,8758,-1.329,-0.364
宿迁,4879,-0.994,-2.166
江阴,6690,-0.402,-4.985
聊城,4785,-1.034,-8.193
柳州,6953,-2.564,3.145
马鞍山,5163,-1.054,-9.58
绵阳,4916,-0.947,-2.731
日照,6153,1.034,-7.793
淮安,4923,-0.364,-6.973
台州,10785,-0.277,-6.274
泰州,6520,0.215,-8.44
威海,6309,1.171,2.038
吴江,0,0,0
芜湖,5871,0.428,-6.154
湘潭,3948,-1.962,-2.229
新乡,4258,1.817,-1.367
营口,4605,-0.904,-4.954
张家港,9079,-2.628,-1.7
株洲,4850,-0.635,-5.329
淄博,5757,-0.673,-3.422
衡水,4920,0.265,7.8
绍兴,9412,-0.392,-5.823
常熟,9280,-2.285,-4.083
盐城,5645,-0.124,-2.386
