城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10258,0.766,7.402
北京,27783,1.587,16.755
上海,28429,0.58,5.904
天津,10502,0.153,2.709
重庆,7469,0.701,8.278
深圳,27542,1.5,14.907
广州,16514,2.744,20.778
杭州,16922,0.648,4.567
南京,12728,1.686,10.601
武汉,7800,0.684,4.558
成都,8116,0.185,10.557
苏州,12693,-0.283,10.355
大连,11575,-0.541,4.411
厦门,16740,3.219,15.712
西安,7170,0.238,1.616
长沙,6802,1.265,6.882
宁波,13063,0.935,1.334
东莞,9322,0.463,2.835
无锡,8618,-0.381,0.772
福州,14079,1.383,6.57
沈阳,7539,-0.317,2.058
青岛,9494,0.946,3.839
济南,8662,0.324,0.116
南昌,9358,1.354,16.234
合肥,6903,1.395,12.062
郑州,8804,1.934,16.748
太原,6380,0.71,6.493
石家庄,6064,0.165,4.264
长春,6778,1.209,7.673
哈尔滨,7354,0.989,9.061
呼和浩特,7216,0.153,1.022
海口,10414,-0.449,-10.517
南宁,7635,1.421,-1.114
兰州,7103,0.014,2.304
昆明,8215,-0.315,-1.91
贵阳,4878,-0.672,-2.867
西宁,5716,0.351,6.602
银川,5134,-0.407,3.404
乌鲁木齐,7488,-0.067,12.551
温州,15715,1.472,-16.887
潍坊,4626,0.238,5.232
包头,5849,0.24,4.446
北海,5813,-1.055,0.868
常州,8304,0.472,3.296
桂林,5926,1.716,2.032
嘉兴,7936,1.044,5.574
南通,9505,-0.783,3.45
唐山,6290,-0.601,2.997
徐州,5811,-0.548,4.722
镇江,6585,0.734,6.175
扬州,9318,0.724,4.591
佛山,8740,0.172,8.369
惠州,6332,1.166,-0.612
昆山,8997,-0.233,2.976
廊坊,6798,2.798,10.591
连云港,5860,1.542,12.801
洛阳,5366,1.494,5.071
秦皇岛,7134,0.649,5.082
三亚,23827,1.491,-8.604
汕头,8624,1.854,20.229
烟台,6588,0.672,3.422
中山,6353,-0.672,2.122
珠海,12540,0.28,0.457
吉林,5986,0.067,6.342
金华,9459,-1.211,0.692
泉州,7310,0.192,12.168
赣州,5444,-0.82,9.802
宜昌,5267,0.114,2.153
湛江,6942,-1.448,4.422
江门,6195,-0.864,8.38
舟山,0,0,0
鞍山,5259,0.095,6.717
宝鸡,4335,0.533,3.485
保定,4842,0.021,2.912
德州,4872,0.703,-3.582
东营,5907,-0.236,9.734
鄂尔多斯,9030,1.529,7.963
邯郸,4833,0.646,5.065
菏泽,5176,0.622,18.012
湖州,9040,2.985,10.325
宿迁,4843,0.083,5.1
江阴,7038,2.193,-0.424
聊城,5203,0.619,4.081
柳州,6390,0.932,10.477
马鞍山,5727,0.58,1.886
绵阳,4988,-0.519,2.697
日照,6592,0.335,3.032
淮安,5111,0.968,11.351
台州,11632,-0.522,9.406
泰州,7195,0.111,6.074
威海,6021,-0.298,2.485
吴江,0,0,0
芜湖,6317,0.589,9.272
湘潭,4092,0.098,10.296
新乡,4178,-0.191,5.478
营口,4918,0.347,5.946
张家港,8461,-1.157,-8.182
株洲,4979,-0.915,9.742
淄博,5899,-0.54,1.27
衡水,4179,1.778,15.922
绍兴,10179,-0.362,4.604
常熟,9252,3.641,13.829
盐城,5652,-0.633,0
