城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10771,-0.591,3.151
北京,32719,-0.052,11.308
上海,32215,-0.331,11.167
天津,10913,-1.454,2.72
重庆,7640,-1.66,1.125
深圳,30141,-0.189,6.671
广州,18019,-0.82,5.073
杭州,16966,-1.811,-1.021
南京,13833,-0.611,6.342
武汉,8084,-1.583,-0.247
成都,8096,-0.012,-0.723
苏州,12205,-2.36,-2.896
大连,11357,-1.697,-0.132
厦门,20728,1.469,18.257
西安,6927,-2.724,-3.631
长沙,6556,-2.614,-3.347
宁波,12845,-1.526,-2.792
东莞,9552,-0.624,3.042
无锡,8278,-0.397,-5.351
福州,14690,-2.45,-2.85
沈阳,7505,-1.728,-0.504
青岛,9544,-0.126,0.463
济南,8729,-0.411,-1.467
南昌,9086,-0.307,-3.299
合肥,7408,1.202,6.345
郑州,9019,0.501,-2.886
太原,6865,-0.116,5.534
石家庄,7006,-0.483,13.329
长春,6970,-0.712,0.781
哈尔滨,7185,0.265,-2.005
呼和浩特,7001,-0.794,-3.421
海口,9966,-1.327,-4.741
南宁,7945,0.799,2.543
兰州,7335,-0.394,-2.46
昆明,8153,-1.771,-4.899
贵阳,4968,-2.147,1.243
西宁,5922,0.458,1.98
银川,5105,-0.604,-1.123
乌鲁木齐,7617,-1.206,1.628
温州,13723,0.322,-11.834
潍坊,4609,-0.324,-0.454
包头,5676,1.757,-2.692
北海,5766,0.558,-0.328
常州,7523,-0.503,-9.579
桂林,5897,-2.658,-2.092
嘉兴,7466,-0.48,-4.612
南通,8848,-0.64,-8.358
唐山,6050,-0.624,-3.277
徐州,6034,-1.131,-2.252
镇江,6563,-0.076,-0.996
扬州,9224,-0.108,0.272
佛山,8658,-0.927,-6.592
惠州,6622,-1.385,1.861
昆山,9085,-0.362,3.063
廊坊,7233,0.486,4.523
连云港,5804,-0.206,-1.242
洛阳,5477,-1.758,2.012
秦皇岛,6938,-0.857,-0.373
三亚,22701,-3.049,-5.381
汕头,8295,-1.132,-2.549
烟台,6470,-0.154,-1.477
中山,6389,1.801,0.805
珠海,13203,-0.151,5.027
吉林,5988,-1.965,-1.675
金华,9290,0.022,-3.33
泉州,7892,-0.139,3.177
赣州,5867,-0.929,4.787
宜昌,5699,-1.384,3.826
湛江,7534,-1.413,5.77
江门,6348,1.39,2.885
舟山,0,0,0
鞍山,5082,-1.128,-3.402
宝鸡,4223,-0.705,-5.186
保定,5564,1.2,11.57
德州,4713,-1.505,-3.363
东营,5793,0.173,-0.413
鄂尔多斯,8990,-0.795,-1.909
邯郸,4964,-0.381,1.68
菏泽,4694,-2.045,-8.499
湖州,8975,-0.411,1.815
宿迁,4998,-0.339,-1.264
江阴,6825,0.575,-1.996
聊城,4915,-2.519,-6.399
柳州,7324,0.425,9.102
马鞍山,5257,0.612,-6.675
绵阳,4912,0.615,-1.504
日照,6208,-2.175,-11.047
淮安,4989,-0.02,-3.501
台州,10897,1.038,-5.955
泰州,6584,-0.634,-7.372
威海,6311,0.302,4.851
吴江,0,0,0
芜湖,5896,-0.691,-3.927
湘潭,3970,-1.391,0.634
新乡,4197,0.575,-2.236
营口,4664,0.172,-5.625
张家港,9601,-3.846,10.471
株洲,4889,-0.102,-2.648
淄博,5809,-0.052,-2.989
衡水,4908,0.656,12.75
绍兴,9678,-0.749,-4.847
常熟,9585,1.482,5.585
盐城,5673,0.247,-0.088
