城市,样本平均价,环比涨跌,同比涨跌
全国(百城),9551,0.294,-2.411
北京,23796,2.291,0.249
上海,26844,0.652,-1.836
天津,10225,-0.603,-6.02
重庆,6898,0.335,-6.175
深圳,23969,0.799,-0.221
广州,13673,0.485,-0.697
杭州,16183,-0.24,-6.484
南京,11508,0.052,-2.968
武汉,7460,0.08,-1.868
成都,7341,0.109,-5.314
苏州,11502,0.052,-5.945
大连,11086,-0.867,1.344
厦门,14467,2.734,-0.475
西安,7056,0.014,-2.743
长沙,6364,-1.042,-0.157
宁波,12891,0.327,-4.277
东莞,9065,-0.701,3.695
无锡,8552,0.223,-8.895
福州,13211,0.701,-10.258
沈阳,7387,1.053,7.276
青岛,9143,-0.044,-0.153
济南,8652,3.394,1.932
南昌,8051,-1.02,-5.427
合肥,6160,-1.848,-8.442
郑州,7541,-0.672,-2.154
太原,5991,0.402,1.491
石家庄,5816,-0.24,1.732
长春,6295,0.591,-2.599
哈尔滨,6743,-0.119,0.447
呼和浩特,7143,-0.432,4.171
海口,11638,-0.589,-12.04
南宁,7721,0.221,-7.864
兰州,6943,-0.344,-0.516
昆明,8375,-0.012,-1.133
贵阳,5022,-0.08,-4.434
西宁,5362,0.979,3.574
银川,4965,0.874,1.223
乌鲁木齐,6653,-0.255,10.295
温州,18908,0.032,2.482
潍坊,4396,-0.159,0.137
包头,5600,2.602,4.419
北海,5763,0.488,1.052
常州,8039,-0.347,-1.591
桂林,5808,-1.14,7.377
嘉兴,7517,-0.384,-6.248
南通,9188,-2.026,-12.169
唐山,6107,1.193,1.597
徐州,5549,0.054,0
镇江,6202,0.194,-3.726
扬州,8909,-0.724,-0.291
佛山,8065,0.211,-5.363
惠州,6371,0.521,-1.209
昆山,8737,0.252,-3.65
廊坊,6147,-0.55,-10.667
连云港,5195,-0.441,0.893
洛阳,5107,-0.098,-4.22
秦皇岛,6789,0.044,-0.615
三亚,26070,0.571,-1.493
汕头,7173,-0.871,-0.527
烟台,6370,0.426,2.1
中山,6221,0.097,-5.11
珠海,12483,-0.455,-4.79
吉林,5629,-0.758,-3.365
金华,9394,-2.023,-6.313
泉州,6517,0.292,-4.457
赣州,4958,-0.562,-1.196
宜昌,5156,-0.232,0.253
湛江,6648,-1.555,7.608
江门,5716,-0.678,-2.341
舟山,0,0,0
鞍山,4928,-1.044,-2.086
宝鸡,4189,-0.946,1.404
保定,4705,-0.906,0.706
德州,5053,1.161,2.682
东营,5383,-0.019,0.149
鄂尔多斯,8364,0.929,1.739
邯郸,4600,0.833,2.336
菏泽,4386,-0.724,14.967
湖州,8194,-1.074,-2.464
宿迁,4608,0.283,1.097
江阴,7068,0.312,-5.013
聊城,4999,-2.344,-2.535
柳州,5784,0.035,-0.448
马鞍山,5621,-0.671,-6.952
绵阳,4857,-0.041,5.472
日照,6398,-0.358,1.863
淮安,4590,-1.418,-1.776
台州,10632,-0.867,-8.131
泰州,6783,2.835,4.322
威海,5875,0.051,2.032
吴江,9576,0.167,-3.584
芜湖,5781,-2.43,-11.741
湘潭,3710,-3.486,-0.829
新乡,3961,0.84,16.261
营口,4642,0.086,-3.432
张家港,9215,-3.87,-3.9
株洲,4537,-0.635,8.619
淄博,5825,1.357,-0.017
衡水,3605,1.009,3.592
绍兴,9731,-0.491,-2.622
常熟,8128,-0.221,-1.681
