城市,样本平均价,环比涨跌,同比涨跌
全国(百城),11092,0.599,5.247
北京,35160,0.211,8.989
上海,37144,0.221,15.015
天津,11029,0.073,4.077
重庆,6977,0.187,-2.569
深圳,47248,5.41,52.551
广州,17268,0.641,-1.376
杭州,16410,0.811,1.591
南京,15323,1.909,11.294
武汉,9113,0.685,16.311
成都,7647,-0.946,-3.337
苏州,13428,5.558,12.34
大连,10084,-0.267,-5.403
厦门,22243,-0.9,5.158
西安,6417,0.172,-4.537
长沙,6290,1.174,-1.627
宁波,12013,-1.022,-3.988
东莞,10582,4.184,17.045
无锡,8420,0.923,2.333
福州,12008,-1.177,-11.157
沈阳,7066,-0.995,-3.059
青岛,8686,0.416,-4.381
济南,8530,0.459,-1.136
南昌,8863,0.158,1.512
合肥,8202,2.193,10.718
郑州,9569,0.399,5.502
太原,7146,0.281,3.147
石家庄,7292,0.027,5.376
长春,6593,-1.7,-3.794
哈尔滨,7145,0.506,-1.462
呼和浩特,6449,0.264,-5.44
海口,9224,-2.782,-1.674
南宁,7272,-0.872,-1.37
兰州,7215,-0.152,3.278
昆明,7574,-0.916,-7.51
贵阳,4486,-0.488,-5.717
西宁,5892,-0.136,-0.758
银川,4812,0.104,-5.703
乌鲁木齐,7180,-0.07,-2.459
温州,13488,1.95,5.482
潍坊,4434,0.113,-1.729
包头,5495,-0.073,1.123
北海,5479,0.569,-2.091
常州,6889,-1.684,-4.386
桂林,4998,0.868,-2.819
嘉兴,7446,0.608,2.774
南通,8214,-0.641,-1.464
唐山,5852,-0.561,-0.205
徐州,5876,2.459,1.837
镇江,6434,-0.771,-1.921
扬州,8563,-0.442,-3.243
佛山,8823,0.261,3.666
惠州,7323,1.188,13.5
昆山,9889,3.952,9.03
廊坊,7748,1.64,7.911
连云港,5864,0.566,0.895
洛阳,5273,0.515,-1.107
秦皇岛,6509,0.417,-1.259
三亚,18628,-0.46,-9.52
汕头,8479,-0.981,4.203
烟台,6242,0,-2.682
中山,6549,5.629,9.186
珠海,14668,4.213,13.811
吉林,5121,-1.802,-6.346
金华,8273,0.121,-4.148
泉州,7450,-0.944,-4.719
赣州,6146,0.787,8.683
宜昌,5251,-2.015,-4.942
湛江,6676,-1.155,-4.792
江门,5883,0.444,-0.742
舟山,0,0,0
鞍山,5085,-1.625,-0.606
宝鸡,3984,0.403,0.05
保定,6578,1.969,17.36
德州,4537,1.047,2.694
东营,5490,0.237,-1.595
鄂尔多斯,8277,0.23,-4.654
邯郸,5097,-0.643,-2.169
菏泽,4117,0.097,-3.786
湖州,8220,-0.508,-6.367
宿迁,4674,1.147,-0.996
江阴,6616,2.02,4.091
聊城,4543,-0.132,-4.398
柳州,7171,-0.07,4.003
马鞍山,5080,1.58,-0.157
绵阳,4779,0.252,-1.444
日照,5936,2.028,-0.101
淮安,4791,0.272,-0.992
台州,9663,0.499,-6.375
泰州,5791,-1.463,-10.022
威海,6455,1.702,2.721
吴江,0,0,0
芜湖,5526,-0.808,-5.716
湘潭,4018,0.5,1.747
新乡,4162,1.265,0
营口,4450,-0.112,-2.305
张家港,8839,-0.057,1.761
株洲,4559,-0.675,-4.363
淄博,5840,0.103,1.512
衡水,4887,-1.571,-1.013
绍兴,8266,1.126,-7.249
常熟,9296,0.934,1.596
盐城,5481,-0.146,-2.02
