城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10569,0.447,-3.726
北京,32401,0.179,-3.2
上海,33263,2.319,2.702
天津,10573,0.066,-5.984
重庆,7052,0.085,-11.195
深圳,32339,2.68,4.691
广州,17198,0.146,-7.068
杭州,15830,-0.428,-11.643
南京,13843,0.669,-1.291
武汉,8100,1.136,-3.133
成都,7865,0.115,-3.957
苏州,12019,0.426,-4.376
大连,10557,0.552,-11.996
厦门,21242,0.965,6.019
西安,6666,-0.892,-9.589
长沙,6325,0.016,-8.174
宁波,12375,0.276,-4.764
东莞,9109,0.73,-5.055
无锡,8212,-0.097,-3.046
福州,13332,-0.307,-14.131
沈阳,7183,-0.111,-9.466
青岛,8935,-0.078,-8.938
济南,8754,0.736,-1.386
南昌,8732,0.402,-7.037
合肥,7463,-0.08,0.879
郑州,9176,0.328,0.736
太原,7043,1.033,3.073
石家庄,7047,0.171,3.056
长春,6808,0.088,-4.059
哈尔滨,7204,-0.483,-0.744
呼和浩特,6645,-1.028,-5.126
海口,9169,-0.478,-12.693
南宁,7332,-1.768,-7.096
兰州,6822,-0.814,-7.398
昆明,8071,-1.127,-5.79
贵阳,4664,-1.645,-11.65
西宁,5979,0.589,1.961
银川,5067,0.337,-2.501
乌鲁木齐,7405,-1.882,-4.452
温州,12876,-0.832,-9.33
潍坊,4486,-0.311,-3.131
包头,5372,-0.849,-8.234
北海,5506,-0.793,-5.46
常州,7188,-0.36,-6.564
桂林,5000,-1.672,-20.382
嘉兴,7232,-0.248,-5.563
南通,8177,-1.363,-9.766
唐山,5860,0.67,-5.651
徐州,5772,-0.466,-6.602
镇江,6575,1.169,0.443
扬州,8841,0.068,-6.681
佛山,8496,0.012,-4.4
惠州,6266,-0.508,-8.002
昆山,9134,0.739,0.099
廊坊,7095,-0.533,-3.443
连云港,5854,0.757,1.526
洛阳,5342,0.622,-6.641
秦皇岛,6594,0.243,-3.962
三亚,20349,-0.978,-16.356
汕头,8015,-1.644,-1.993
烟台,6361,-0.22,-2.093
中山,6025,0.25,-5.564
珠海,13069,0.492,-1.321
吉林,5460,0.294,-14.447
金华,8494,-0.898,-8.302
泉州,7753,1.32,-0.18
赣州,5691,0.583,-2.25
宜昌,5340,-1.44,-7.017
湛江,6881,-1.064,-12.041
江门,5875,-0.474,-9.266
舟山,0,0,0
鞍山,5103,0.196,-1.903
宝鸡,3929,-0.203,-8.329
保定,5782,1.137,6.443
德州,4460,-0.491,-10.008
东营,5459,1.205,-6.106
鄂尔多斯,8660,0.255,-5.859
邯郸,5202,0.444,4.879
菏泽,4266,-0.443,-15.525
湖州,8435,-2.407,-5.501
宿迁,4625,-0.345,-8.033
江阴,6304,-0.693,-6.163
聊城,4658,0.086,-10.492
柳州,6954,0.637,-5.246
马鞍山,5044,-0.67,-4.47
绵阳,4892,-0.041,-3.186
日照,5829,-1.371,-11.13
淮安,4782,-0.313,-4.149
台州,10216,0.779,-9.046
泰州,6356,-1.012,-7.724
威海,6268,0.32,-0.666
吴江,0,0,0
芜湖,5793,-1.73,-2.606
湘潭,3937,-0.505,-3.764
新乡,4070,-1.691,-4.213
营口,4559,-0.719,-4.383
张家港,8521,-1.719,-15.399
株洲,4780,0.886,-3.958
淄博,5702,0.193,-3.796
衡水,4854,-0.533,-1.261
绍兴,8735,-1.355,-10.373
常熟,9175,0.339,-6.109
盐城,5622,-0.142,-2.447
